row,var,status,mismatch_reason,existing_in_or_not,proposed_in_or_not,existing_range,proposed_range,alternative_range,existing_decimal_check,proposed_decimal_check,decimal_note,question_excerpt
12,vA7R,match,,range,range,"range(vA7R,1,999999999)","range(vA7R,1,999999999)","range(vA7R,1,999999999)",,,,"A7R 請注意!「生活成本之經常性整體開銷:(貼A7答案)」應等於或大於下列六項的總和!1.食物開銷:(貼A1答案)2.衣著開銷:(貼A2答案)3.居住開銷:(貼A3答案)4.交通及通訊開銷:(貼A4答案)5.醫藥保健開銷:(貼A5答案)6.教養娛樂開銷:(貼A6答案)再請您協助回想並填答。請問您個人(或同住家人的家庭)每個月在「生活成本之經常性整體開銷」,大約是多少元?【邏輯:A1+A2+A3+A4+A5+A6>A7時進入此題;填答範圍設定大於等於1。調查結束後答案併回A7題,此題變項刪除不提供。】每月_____元END2感謝您的參與,由於您的填答非屬本次的研究對象,希望下次有機會再邀請您!【邏輯:A1+A2+A3+A4+A5+A6>A7R*1.1時進入此題,並停止作答】2. 接著,想請問您「一年後」生活成本"
13,vEND2,match,,range,range,"range(vEND2,20260609000000,20260629000000,99969696969696,99969696969696)","range(vEND2,20260609000000,20260629000000,99969696969696,99969696969696)","(range(vEND2,20260609000000,20260629000000) | range(vEND2,99969696969696,99969696969696))",,,,
14,vB1,match,,range,range,"range(vB1,1,3)","range(vB1,1,3)","range(vB1,1,3)",,,,"B1 請問您預計在「一年後」,個人(或同住家人的家庭)每個月生活成本之食物開銷,與目前(貼A1答案)相比,會有什麼變化?【邏輯:A1填答0,此題不可回答減少】(1)增加[續答B1U]  (2)減少[跳答B1D] (3)大致不變[跳答B2]"
15,vB1U,match,,range,range,"range(vB1U,1,999999999,9999999996,9999999996)","range(vB1U,1,999999999,9999999996,9999999996)","(range(vB1U,1,999999999) | range(vB1U,9999999996,9999999996))",,,,"B1U 承上題,您預期一年後生活成本之食物開銷會增加,請問相較於目前(貼A1答案),每個月大約會增加多少元?(本題答案應為大於等於1的整數)[跳答B2]【填答範圍設定大於等於1】每個月增加_________元(請填寫差額)"
16,vB1D,match,,range,range,"range(vB1D,1,999999999,9999999996,9999999996) |vB1D>A1","range(vB1D,1,999999999,9999999996,9999999996)|vB1D>A1","(range(vB1D,1,999999999) | range(vB1D,9999999996,9999999996))",|vB1D>A1,|vB1D>A1,,"B1D 承上題,您預期一年後生活成本之食物開銷會減少,請問相較於目前(貼A1答案),每個月大約會減少多少元?(本題答案應為大於等於1的整數)【填答範圍設定大於等於1,且不可大於A1】每個月減少_________元(請填寫差額)"
17,vB2,match,,range,range,"range(vB2,1,3)","range(vB2,1,3)","range(vB2,1,3)",,,,"B2 請問您預計在「一年後」,個人(或同住家人的家庭)每個月生活成本之衣著開銷,與目前(貼A2答案)相比,會有什麼變化?【邏輯:A2填答0,此題不可回答減少】(1)增加[續答B2U]  (2)減少[跳答B2D]   (3)大致不變[跳答B3]"
18,vB2U,match,,range,range,"range(vB2U,1,999999999,9999999996,9999999996)","range(vB2U,1,999999999,9999999996,9999999996)","(range(vB2U,1,999999999) | range(vB2U,9999999996,9999999996))",,,,"B2U 承上題,您預期一年後生活成本之衣著開銷會增加,請問相較於目前(貼A2答案),每個月大約會增加多少元?(本題答案應為大於等於1的整數)[跳答B3]【填答範圍設定大於等於1】每個月增加_________元(請填寫差額)"
19,vB2D,match,,range,range,"range(vB2D,1,999999999,9999999996,9999999996) |(vB2D>A2 & vB2D<9999999996)","range(vB2D,1,999999999,9999999996,9999999996)|(vB2D>A2 & vB2D<9999999996)","(range(vB2D,1,999999999) | range(vB2D,9999999996,9999999996))",|(vB2D>A2 & vB2D<9999999996),|(vB2D>A2 & vB2D<9999999996),,"B2D 承上題,您預期一年後生活成本之衣著開銷會減少,請問相較於目前(貼A2答案),每個月大約會減少多少元?(本題答案應為大於等於1的整數)【填答範圍設定大於等於1,且不可大於A2】每個月減少_________元(請填寫差額)"
20,vB3,match,,range,range,"range(vB3,1,3)","range(vB3,1,3)","range(vB3,1,3)",,,,"B3 請問您預計在「一年後」,個人(或同住家人的家庭)每個月生活成本之居住開銷,與目前(貼A3答案)相比,會有什麼變化?【邏輯:A3填答0,此題不可回答減少】(1)增加[續答B3U]  (2)減少[跳答B3D]  (3)大致不變[跳答B4]"
21,vB3U,match,,range,range,"range(vB3U,1,999999999,9999999996,9999999996)","range(vB3U,1,999999999,9999999996,9999999996)","(range(vB3U,1,999999999) | range(vB3U,9999999996,9999999996))",,,,"B3U 承上題,您預期一年後生活成本之居住開銷會增加,請問相較於目前(貼A3答案),每個月大約會增加多少元?(本題答案應為大於等於1的整數)[跳答B4]【填答範圍設定大於等於1】每個月增加_________元(請填寫差額)"
22,vB3D,match,,range,range,"range(vB3D,1,999999999,9999999996,9999999996) |(vB3D>A3 & vB3D<9999999996)","range(vB3D,1,999999999,9999999996,9999999996)|(vB3D>A3 & vB3D<9999999996)","(range(vB3D,1,999999999) | range(vB3D,9999999996,9999999996))",|(vB3D>A3 & vB3D<9999999996),|(vB3D>A3 & vB3D<9999999996),,"B3D 承上題,您預期一年後生活成本之居住開銷會減少,請問相較於目前(貼A3答案),每個月大約會減少多少元?(本題答案應為大於等於1的整數)【填答範圍設定大於等於1,且不可大於A3】每個月減少_________元(請填寫差額)"
23,vB4,match,,range,range,"range(vB4,1,3)","range(vB4,1,3)","range(vB4,1,3)",,,,"B4 請問您預計在「一年後」,個人(或同住家人的家庭)每個月生活成本之交通及通訊開銷,與目前(貼A4答案)相比,會有什麼變化?【邏輯:A4填答0,此題不可回答減少】(1)增加[續答B4U] (2)減少[跳答B4D] (3)大致不變[跳答B5]"
24,vB4U,match,,range,range,"range(vB4U,1,999999999,9999999996,9999999996)","range(vB4U,1,999999999,9999999996,9999999996)","(range(vB4U,1,999999999) | range(vB4U,9999999996,9999999996))",,,,"B4U 承上題,您預期一年後生活成本之交通及通訊開銷會增加,請問相較於目前(貼A4答案),每個月大約會增加多少元?(本題答案應為大於等於1的整數)[跳答B5]【填答範圍設定大於等於1】每個月增加_________元(請填寫差額)"
25,vB4D,match,,range,range,"range(vB4D,1,999999999,9999999996,9999999996) |(vB4D>A4 & vB4D<9999999996)","range(vB4D,1,999999999,9999999996,9999999996)|(vB4D>A4 & vB4D<9999999996)","(range(vB4D,1,999999999) | range(vB4D,9999999996,9999999996))",|(vB4D>A4 & vB4D<9999999996),|(vB4D>A4 & vB4D<9999999996),,"B4D 承上題,您預期一年後生活成本之交通及通訊開銷會減少,請問相較於目前(貼A4答案),每個月大約會減少多少元?(本題答案應為大於等於1的整數)【填答範圍設定大於等於1,且不可大於A4】每個月減少_________元(請填寫差額)"
26,vB5,match,,range,range,"range(vB5,1,3)","range(vB5,1,3)","range(vB5,1,3)",,,,"B5 請問您預計在「一年後」,個人(或同住家人的家庭)每個月生活成本之醫藥保健開銷,與目前(貼A5答案)相比,會有什麼變化?【邏輯:A5填答0,此題不可回答減少】(1)增加[續答B5U]  (2)減少[跳答B5D]  (3)大致不變[跳答B6]"
27,vB5U,match,,range,range,"range(vB5U,1,999999999,9999999996,9999999996)","range(vB5U,1,999999999,9999999996,9999999996)","(range(vB5U,1,999999999) | range(vB5U,9999999996,9999999996))",,,,"B5U 承上題,您預期一年後生活成本之醫藥保健開銷會增加,請問相較於目前(貼A5答案),每個月大約會增加多少元?(本題答案應為大於等於1的整數)[跳答B6]【填答範圍設定大於等於1】每個月增加_________元(請填寫差額)"
28,vB5D,match,,range,range,"range(vB5D,1,999999999,9999999996,9999999996) |(vB5D>A5 & vB5D<9999999996)","range(vB5D,1,999999999,9999999996,9999999996)|(vB5D>A5 & vB5D<9999999996)","(range(vB5D,1,999999999) | range(vB5D,9999999996,9999999996))",|(vB5D>A5 & vB5D<9999999996),|(vB5D>A5 & vB5D<9999999996),,"B5D 承上題,您預期一年後生活成本之醫藥保健開銷會減少,請問相較於目前(貼A5答案),每個月大約會減少多少元?(本題答案應為大於等於1的整數)【填答範圍設定大於等於1,且不可大於A5】每個月減少_________元(請填寫差額)"
29,vB6,match,,range,range,"range(vB6,1,3)","range(vB6,1,3)","range(vB6,1,3)",,,,"B6 請問您預計在「一年後」,個人(或同住家人的家庭)每個月生活成本之教養娛樂開銷,與目前(貼A6答案)相比,會有什麼變化?【邏輯:A6填答0,此題不可回答減少】(1)增加[續答B6U]  (2)減少[跳答B6D]  (3)大致不變[跳答B7]"
30,vB6U,match,,range,range,"range(vB6U,1,999999999,9999999996,9999999996)","range(vB6U,1,999999999,9999999996,9999999996)","(range(vB6U,1,999999999) | range(vB6U,9999999996,9999999996))",,,,"B6U 承上題,您預期一年後生活成本之教養娛樂開銷會增加,請問相較於目前(貼A6答案),每個月大約會增加多少元?(本題答案應為大於等於1的整數)[跳答B7]【填答範圍設定大於等於1】每個月增加_________元(請填寫差額)"
31,vB6D,match,,range,range,"range(vB6D,1,999999999,9999999996,9999999996) |(vB6D>A6 & vB6D<9999999996)","range(vB6D,1,999999999,9999999996,9999999996)|(vB6D>A6 & vB6D<9999999996)","(range(vB6D,1,999999999) | range(vB6D,9999999996,9999999996))",|(vB6D>A6 & vB6D<9999999996),|(vB6D>A6 & vB6D<9999999996),,"B6D 承上題,您預期一年後生活成本之教養娛樂開銷會減少,請問相較於目前(貼A6答案),每個月大約會減少多少元?(本題答案應為大於等於1的整數)【填答範圍設定大於等於1,且不可大於A6】每個月減少_________元(請填寫差額)"
32,vB7,match,,range,range,"range(vB7,1,3)","range(vB7,1,3)","range(vB7,1,3)",,,,"B7 請問您預計在「一年後」,個人(或同住家人的家庭)每個月生活成本之經常性整體開銷,與目前(貼A7答案)相比,會有什麼變化?【邏輯:A7填答0,此題不可回答減少】(1)增加[續答B7U] (2)減少[跳答B7D](3)大致不變[跳答C1]"
33,vB7U,match,,range,range,"range(vB7U,1,999999999,9999999996,9999999996)","range(vB7U,1,999999999,9999999996,9999999996)","(range(vB7U,1,999999999) | range(vB7U,9999999996,9999999996))",,,,"B7U 承上題,您預期一年後生活成本之經常性整體開銷會增加,請問相較於目前(貼A7答案),每個月大約會增加多少元?(本題答案應為大於等於1的整數)[跳答C1]【填答範圍設定大於等於1】每個月增加_________元(請填寫差額)"
34,vB7D,match,,range,range,"range(vB7D,1,999999999,9999999996,9999999996) |(vB7D>A7 & vB7D<9999999996)","range(vB7D,1,999999999,9999999996,9999999996)|(vB7D>A7 & vB7D<9999999996)","(range(vB7D,1,999999999) | range(vB7D,9999999996,9999999996))",|(vB7D>A7 & vB7D<9999999996),|(vB7D>A7 & vB7D<9999999996),,"B7D 承上題,您預期一年後生活成本之經常性整體開銷會減少,請問相較於目前(貼A7答案),每個月大約會減少多少元?(本題答案應為大於等於1的整數)【填答範圍設定大於等於1,且不可大於A7】每個月減少_________元(請填寫差額)"
35,vB7R,match,,range,range,"range(vB7R,1,3)","range(vB7R,1,3)","range(vB7R,1,3)",,,,"B7R 請問您預計在「一年後」,個人(或同住家人的家庭)每個月生活成本之經常性整體開銷,與目前(貼A7R答案)相比,會有什麼變化?【邏輯:A1+A2+A3+A4+A5+A6>A7顯示此題,調查結束後答案併回B7,此題變項刪除不提供】(1)增加[續答B7UR](2)減少[跳答B7DR](3)大致不變[跳答C1]"
36,vB7UR,match,,range,range,"range(vB7UR,1,999999999,9999999996,9999999996)","range(vB7UR,1,999999999,9999999996,9999999996)","(range(vB7UR,1,999999999) | range(vB7UR,9999999996,9999999996))",,,,"B7UR 承上題,您預期一年後生活成本之經常性整體開銷會增加,請問相較於目前(貼A7R答案),每個月大約會增加多少元?(本題答案應為大於等於1的整數)[跳答C1]【填答範圍設定大於等於1,調查結束後答案併回B7U,此題變項刪除不提供】每個月增加_________元(請填寫差額)"
37,vB7DR,match,,range,range,"range(vB7DR,1,999999999,9999999996,9999999996)","range(vB7DR,1,999999999,9999999996,9999999996)","(range(vB7DR,1,999999999) | range(vB7DR,9999999996,9999999996))",,,,"B7DR 承上題,您預期一年後生活成本之經常性整體開銷會減少,請問相較於目前(貼A7R答案),每個月大約會減少多少元?(本題答案應為大於等於1的整數)【填答範圍設定大於等於1,且不可大於A7R;調查結束後答案併回B7D,此題變項刪除不提供】每個月減少_________元(請填寫差額)3. 物價預期的相關問題(此部分若您不知道明確方向,可用直覺回答)"
38,vC1,match,,range,range,"range(vC1,1,3)","range(vC1,1,3)","range(vC1,1,3)",,,,"C1 您預期在一年後,臺灣消費者物價指數與這一兩個月相比,會上升、下降、還是大致不變?(1)上升[續答C1U]  (2)下降[跳答C1D] (3)大致不變[跳答C2]"
39,vC1U,match,,range,range,"range(vC1U,1,4,96,96)","range(vC1U,1,4,96,96)","(range(vC1U,1,4) | range(vC1U,96,96))",,,,"C1U 承上題,根據主計總處發布115年3、4月平均消費者物價指數比去年同期上漲X.XX%。請問您預期在一年後,消費者物價指數年增率將落在哪個區間?[C1選(1)顯示此題](1) 1.00%(含)~1.50%[跳答C2](2) 1.50%(含)~2.00%[跳答C2](3) 2.00%(含)~2.50%[跳答C2](4) 2.50%(含)~3.00%[跳答C2](5) 3.00%(含)以上[續答C1U5]"
40,vC1U4,match,,range,range,"range(vC1U4,3,999,9999999996,9999999996)","range(vC1U4,3,999,9999999996,9999999996)","(range(vC1U4,3,999) | range(vC1U4,9999999996,9999999996))",,,,
41,vC1U4R,match,,range,range,"range(vC1U4R,1,2,96,96)","range(vC1U4R,1,2,96,96)","(range(vC1U4R,1,2) | range(vC1U4R,96,96))",,,,
42,vC1D,match,,range,range,"range(vC1D,1,4,96,96)","range(vC1D,1,4,96,96)","(range(vC1D,1,4) | range(vC1D,96,96))",,,,"C1D 承上題,根據主計總處發布115年3、4月平均消費者物價指數比去年同期上漲X.XX%。請問您預期在一年後,消費者物價指數年增率將落在哪個區間?[C1選(2)顯示此題](1) 低於0.50%[續答C1D1](2) 0.50%(含)~1.00%[跳答C2](3) 1.00%(含)~1.50%[跳答C2]"
43,vC1D1,review,range differs; decimal check missing/differs,range,range,"range(vC1D1,-100000,0.49999,9999999996,9999999996)","(range(vC1D1,-100000,0.49999,9999999996,9999999996) & mod(vC1D1*100,1)=0)","(range(vC1D1,-100000,0.49999) | range(vC1D1,9999999996,9999999996))",,"&mod(vC1D1*100,1)=0",allow up to 2 decimal places,"C1D1 您上一題勾選預期一年後,消費者物價指數年增率將會落於「低於0.5%」區間,請問是多少%呢?(可輸入至小數點2位)[C1D選(1)顯示此題,範圍設定小於0.5]變化至____%C1D1R 115年3、4月平均消費者物價指數比去年同期上漲幅度為X.XX%,而您預期一年後年增率為(貼C1D1的答案)%。請確認您的回答是否與您的想法相符,或是輸入有誤。[C1D1為0%或負值,顯示C1D1R,正值則跳至C2](1) 輸入正確,與我的想法相符(2) 輸入錯誤,正確應為___%(請填數字,可輸入至小數點2位)"
44,vC1D1R,review,range differs; decimal check missing/differs,range,range,"range(vC1D1R,1,2,96,96)","(range(vC1D1R,1,2,96,96) & mod(vC1D1R*100,1)=0)","(range(vC1D1R,1,2) | range(vC1D1R,96,96))",,"&mod(vC1D1R*100,1)=0",allow up to 2 decimal places,"C1D1 您上一題勾選預期一年後,消費者物價指數年增率將會落於「低於0.5%」區間,請問是多少%呢?(可輸入至小數點2位)[C1D選(1)顯示此題,範圍設定小於0.5]變化至____%C1D1R 115年3、4月平均消費者物價指數比去年同期上漲幅度為X.XX%,而您預期一年後年增率為(貼C1D1的答案)%。請確認您的回答是否與您的想法相符,或是輸入有誤。[C1D1為0%或負值,顯示C1D1R,正值則跳至C2](1) 輸入正確,與我的想法相符(2) 輸入錯誤,正確應為___%(請填數字,可輸入至小數點2位)"
45,vC3,match,,range,range,"range(vC3,1,7,96,96)","range(vC3,1,7,96,96)","(range(vC3,1,7) | range(vC3,96,96))",,,,"C3 請問您認為一年後消費者物價上漲的最主要原因是下列哪一個?(單選)【詢問C1回答(1)者】(1) 大宗原物料價格(含石油、天然氣、礦產、小麥、玉米等)可能因戰爭或其它因素上漲(2) 美國關稅政策實施可能引起的全球貿易戰,導致全球生產成本提高(3) 水、電價可能調漲(4) 交通運輸價格可能調漲(5) 天候因素(6) 最低工資可能繼續調升(7) 其它因素,請說明________________C2 114年消費者物價指數的年增率為1.66%,請問您預期在三年後,消費者物價指數年增率將落在哪個區間?(1) 低於0.50%[跳答C2D1](2) 0.50%(含)~1.00%[跳答D1](3) 1.00%(含)~1.50%[跳答D1](4) 1.50%(含)~2.00%[跳答D1](5) 2.00%(含)~2.50%"
46,vC2,match,,range,range,"range(vC2,1,7,96,96)","range(vC2,1,7,96,96)","(range(vC2,1,7) | range(vC2,96,96))",,,,
47,vC2U7,review,range differs; decimal check missing/differs,range,range,"range(vC2U7,3,999,9999999996,9999999996)","(range(vC2U7,3,999,9999999996,9999999996) & mod(vC2U7*100,1)=0)","(range(vC2U7,3,999) | range(vC2U7,9999999996,9999999996))",,"&mod(vC2U7*100,1)=0",allow up to 2 decimal places,"C2U7您上一題勾選預期三年後,消費者物價指數年增率將會落於「3.00%(含)以上」區間,請問是多少%呢?(可輸入至小數點2位)[C2選(7)顯示此題,範圍設定大於等於3]變化至____%C2U7R 114年消費者物價指數的年增率為1.66%,而您預期三年後年增率為(貼C2U7的答案)%。請確認您的回答是否與您的想法相符,或是輸入有誤。[C2U7大於等於50顯示C2U7R,不到50則跳至C3](1) 輸入正確,與我的想法相符(2) 輸入錯誤,正確應為___%(請填數字,可輸入至小數點2位)"
48,vC2U7R,review,range differs; decimal check missing/differs,range,range,"range(vC2U7R,1,2,96,96)","(range(vC2U7R,1,2,96,96) & mod(vC2U7R*100,1)=0)","(range(vC2U7R,1,2) | range(vC2U7R,96,96))",,"&mod(vC2U7R*100,1)=0",allow up to 2 decimal places,"C2U7您上一題勾選預期三年後,消費者物價指數年增率將會落於「3.00%(含)以上」區間,請問是多少%呢?(可輸入至小數點2位)[C2選(7)顯示此題,範圍設定大於等於3]變化至____%C2U7R 114年消費者物價指數的年增率為1.66%,而您預期三年後年增率為(貼C2U7的答案)%。請確認您的回答是否與您的想法相符,或是輸入有誤。[C2U7大於等於50顯示C2U7R,不到50則跳至C3](1) 輸入正確,與我的想法相符(2) 輸入錯誤,正確應為___%(請填數字,可輸入至小數點2位)"
49,vC2D1,review,range differs; decimal check missing/differs,range,range,"range(vC2D1,-100000,0.49999,9999999996,9999999996)","(range(vC2D1,-100000,0.49999,9999999996,9999999996) & mod(vC2D1*100,1)=0)","(range(vC2D1,-100000,0.49999) | range(vC2D1,9999999996,9999999996))",,"&mod(vC2D1*100,1)=0",allow up to 2 decimal places,"C2D1 您上一題勾選預期三年後,消費者物價指數年增率將會落於「低於0.5%」區間,請問是多少%呢?(可輸入至小數點2位)[C2選(1)顯示此題,範圍設定小於0.5]變化至____%C2D1R 114年消費者物價指數的年增率為1.66%,而您預期三年後年增率為(貼C2D1的答案)%。請確認您的回答是否與您的想法相符,或是輸入有誤。[C2D1為0%或負值,顯示C2D1R,正值則跳至C3](1) 輸入正確,與我的想法相符(2) 輸入錯誤,正確應為___%(請填數字,可輸入至小數點2位)4. 房價預期的相關問題(此部分若您不知道明確方向,可用直覺回答)"
50,vC2D1R,review,range differs; decimal check missing/differs,range,range,"range(vC2D1R,1,2,96,96)","(range(vC2D1R,1,2,96,96) & mod(vC2D1R*100,1)=0)","(range(vC2D1R,1,2) | range(vC2D1R,96,96))",,"&mod(vC2D1R*100,1)=0",allow up to 2 decimal places,"C2D1 您上一題勾選預期三年後,消費者物價指數年增率將會落於「低於0.5%」區間,請問是多少%呢?(可輸入至小數點2位)[C2選(1)顯示此題,範圍設定小於0.5]變化至____%C2D1R 114年消費者物價指數的年增率為1.66%,而您預期三年後年增率為(貼C2D1的答案)%。請確認您的回答是否與您的想法相符,或是輸入有誤。[C2D1為0%或負值,顯示C2D1R,正值則跳至C3](1) 輸入正確,與我的想法相符(2) 輸入錯誤,正確應為___%(請填數字,可輸入至小數點2位)4. 房價預期的相關問題(此部分若您不知道明確方向,可用直覺回答)"
51,vD1,match,,range,range,"range(vD1,1,3,7,7,96,96)","range(vD1,1,3,7,7,96,96)","(range(vD1,1,3) | range(vD1,7,7) | range(vD1,96,96))",,,,"D1 請問您認為在您的居住城市,預期在未來半年後,房價會比現在低還是高?(1)比現在低[續答D1D]  (2)比現在高[跳答D1U](3)大致不變[跳答E1]     (7)不知道[跳答E1]"
52,vD1D,match,,range,range,"range(vD1D,1,5,96,96)","range(vD1D,1,5,96,96)","(range(vD1D,1,5) | range(vD1D,96,96))",,,,"D1D 承上題,請問您預期半年後,房價平均大致會比現在低多少百分比?(1) 1%(含)~2%[跳答E1](2) 2%(含)~5%[跳答E1](3) 5%(含)~10%[跳答E1](4) 10%(含)~20%[跳答E1](5) 20%(含)以上[續答D1D5]"
53,vD1D5,review,range differs; decimal check missing/differs,range,range,"range(vD1D5,20,999999,9999996,9999996)","(range(vD1D5,20,999999,9999996,9999996) & mod(vD1D5*100,1)=0)","(range(vD1D5,20,999999) | range(vD1D5,9999996,9999996))",,"&mod(vD1D5*100,1)=0",allow up to 2 decimal places,"D1D5 您上一題勾選預期半年後,平均房價將會低「20%(含)以上」,請問是多少%呢?(可輸入至小數點2位)[D1D選(5)顯示此題,範圍設定大於等於20]低____百分比"
54,vD1U,match,,range,range,"range(vD1U,1,5,96,96)","range(vD1U,1,5,96,96)","(range(vD1U,1,5) | range(vD1U,96,96))",,,,"D1U 承上題,請問您預期半年後,房價平均大致會比現在漲多少百分比?(1) 1%(含)~2%[跳答E1](2) 2%(含)~5%[跳答E1](3) 5%(含)~10%[跳答E1](4) 10%(含)~20%[跳答E1](5) 20%(含)以上[續答D1U5]"
55,vD1U5,review,range differs; decimal check missing/differs,range,range,"range(vD1U5,20,999999,9999996,9999996)","(range(vD1U5,20,999999,9999996,9999996) & mod(vD1U5*100,1)=0)","(range(vD1U5,20,999999) | range(vD1U5,9999996,9999996))",,"&mod(vD1U5*100,1)=0",allow up to 2 decimal places,"D1U5 您上一題勾選預期半年後,平均房價將會漲「20%(含)以上」,請問是多少%呢?(可輸入至小數點2位)[D1U選(5)顯示此題,範圍設定大於等於20]漲____百分比5. 利率預期的相關問題(此部分若您不知道明確方向,可用直覺回答)"
56,vE1,match,,range,range,"range(vE1,1,3,96,96)","range(vE1,1,3,96,96)","(range(vE1,1,3) | range(vE1,96,96))",,,,"E1 央行發布115年4月消費性貸款利率(如,車貸、學貸、信用卡循環信用利率等)為2.634%。請問您預期在一年後,消費性貸款利率與近期相比,會上升、下降、還是大致不變?(1)上升   (2)下降   (3)大致不變6. 政策相關問題"
57,vF1m1,match,,range,range,"range(vF1m1,0,1,96,96)","range(vF1m1,0,1,96,96)","(range(vF1m1,0,1) | range(vF1m1,96,96))",,,,
58,vF1m2,match,,range,range,"range(vF1m2,0,1,96,96)","range(vF1m2,0,1,96,96)","(range(vF1m2,0,1) | range(vF1m2,96,96))",,,,
59,vF1m3,match,,range,range,"range(vF1m3,0,1,96,96)","range(vF1m3,0,1,96,96)","(range(vF1m3,0,1) | range(vF1m3,96,96))",,,,
60,vF1m4,match,,range,range,"range(vF1m4,0,1,96,96)","range(vF1m4,0,1,96,96)","(range(vF1m4,0,1) | range(vF1m4,96,96))",,,,
61,vF1m5,review,in_or_not differs; range differs,,range,,"range(vF1m5,0,1,96,96)","(range(vF1m5,0,1) | range(vF1m5,96,96))",,,,
62,vF1m6,review,in_or_not differs; range differs,,range,,"range(vF1m6,0,1,96,96)","(range(vF1m6,0,1) | range(vF1m6,96,96))",,,,
63,vF1m7,review,in_or_not differs; range differs,,range,,"range(vF1m7,0,1,96,96)","(range(vF1m7,0,1) | range(vF1m7,96,96))",,,,
64,vF1m8,review,in_or_not differs; range differs,,range,,"range(vF1m8,0,1,96,96)","(range(vF1m8,0,1) | range(vF1m8,96,96))",,,,
65,vF1m9,review,in_or_not differs; range differs,,range,,"range(vF1m9,0,1,96,96)","(range(vF1m9,0,1) | range(vF1m9,96,96))",,,,
66,vF1m10,review,in_or_not differs; range differs,,range,,"range(vF1m10,0,1,96,96)","(range(vF1m10,0,1) | range(vF1m10,96,96))",,,,
67,vF1m11,review,in_or_not differs; range differs,,range,,"range(vF1m11,0,1,96,96)","(range(vF1m11,0,1) | range(vF1m11,96,96))",,,,
68,vF1_1,review,in_or_not differs; range differs,,range,,"range(vF1_1,1,5,96,96)","(range(vF1_1,1,5) | range(vF1_1,96,96))",,,,"F1_1 您認為未來三年,臺灣面臨的地緣政治風險程度會如何變化?[F1選(3)顯示此題](1) 明顯上升(2) 略微上升(3) 大致維持不變(4) 略微下降(5) 明顯下降"
69,vF1_2,review,in_or_not differs; range differs,,range,,"range(vF1_2,1,5,96,96)","(range(vF1_2,1,5) | range(vF1_2,96,96))",,,,"F1_2 您認為未來三年,社會治安不安定的程度會如何變化?(例如:詐騙犯罪、暴力事件等)[F1選(4)顯示此題且續答F1_3](1) 明顯上升(2) 略微上升(3) 大致維持不變(4) 略微下降(5) 明顯下降F1_3您認為未來三年,國內政治環境不安定的程度會如何變化?[續答F2](1) 明顯上升(2) 略微上升(3) 大致維持不變(4) 略微下降(5) 明顯下降"
