project,status,qid,excel_sources,word_excerpt
消費者2,covered,B1,all; 數值題101-200; 邏輯組:不應答; 邏輯組:應答; 邏輯組:條件; 邏輯組:限制,
消費者2,covered,B1D,all; 數值題101-200; 邏輯組:不應答; 邏輯組:應答; 邏輯組:限制,
消費者2,covered,B1U,all; 數值題101-200; 邏輯組:不應答; 邏輯組:應答,
消費者2,covered,B2,all; 數值題101-200; 邏輯組:不應答; 邏輯組:應答; 邏輯組:條件; 邏輯組:限制,
消費者2,covered,B2D,all; 數值題101-200; 邏輯組:不應答; 邏輯組:應答; 邏輯組:限制,
消費者2,covered,B2U,all; 數值題101-200; 邏輯組:不應答; 邏輯組:應答,
消費者2,covered,B3,all; 數值題101-200; 邏輯組:不應答; 邏輯組:應答; 邏輯組:條件; 邏輯組:限制,
消費者2,covered,B3D,all; 數值題101-200; 邏輯組:不應答; 邏輯組:應答; 邏輯組:限制,
消費者2,covered,B3U,all; 數值題101-200; 邏輯組:不應答; 邏輯組:應答,
消費者2,covered,B4,all; 數值題101-200; 邏輯組:不應答; 邏輯組:應答; 邏輯組:條件; 邏輯組:限制,
消費者2,covered,B4D,all; 數值題101-200; 邏輯組:不應答; 邏輯組:應答; 邏輯組:限制,
消費者2,covered,B4U,all; 數值題101-200; 邏輯組:不應答; 邏輯組:應答,
消費者2,covered,B5,all; 數值題101-200; 邏輯組:不應答; 邏輯組:應答; 邏輯組:條件; 邏輯組:限制,
消費者2,covered,B5D,all; 數值題101-200; 邏輯組:不應答; 邏輯組:應答; 邏輯組:限制,
消費者2,covered,B5U,all; 數值題101-200; 邏輯組:不應答; 邏輯組:應答,
消費者2,covered,B6,all; 數值題101-200; 邏輯組:不應答; 邏輯組:應答; 邏輯組:條件; 邏輯組:限制,
消費者2,covered,B6D,all; 數值題101-200; 邏輯組:不應答; 邏輯組:應答; 邏輯組:限制,
消費者2,covered,B6U,all; 數值題101-200; 邏輯組:不應答; 邏輯組:應答,
消費者2,covered,B7,all; 數值題101-200; 邏輯組:不應答; 邏輯組:應答; 邏輯組:條件; 邏輯組:限制,
消費者2,covered,B7D,all; 數值題101-200; 邏輯組:不應答; 邏輯組:應答; 邏輯組:限制,
消費者2,covered,B7R,all; 數值題101-200; 邏輯組:不應答; 邏輯組:應答; 邏輯組:條件,
消費者2,covered,B7U,all; 數值題101-200; 邏輯組:不應答; 邏輯組:應答,
消費者2,covered,C1,all; 數值題101-200; 邏輯組:不應答; 邏輯組:應答; 邏輯組:條件,
消費者2,covered,C1D,all; 數值題101-200; 邏輯組:不應答; 邏輯組:應答; 邏輯組:條件; 開放欄位201-250,
消費者2,covered,C1D1,all; 數值題101-200; 邏輯組:不應答; 邏輯組:應答; 邏輯組:條件; 開放欄位201-250,
消費者2,covered,C1U,all; 數值題101-200; 邏輯組:不應答; 邏輯組:應答; 邏輯組:條件; 開放欄位201-250,
消費者2,covered,C1U5,all; 邏輯組:條件; 開放欄位201-250,
消費者2,covered,C2D1,all; 數值題101-200; 邏輯組:不應答; 邏輯組:應答; 邏輯組:條件; 開放欄位201-250,
消費者2,covered,C2U7,all; 數值題101-200; 邏輯組:不應答; 邏輯組:應答; 邏輯組:條件; 開放欄位201-250,
消費者2,covered,C3,all; 數值題101-200; 邏輯組:不應答; 邏輯組:應答; 開放欄位201-250,
消費者2,covered,D1,all; 數值題101-200; 邏輯組:不應答; 邏輯組:應答; 邏輯組:條件,
消費者2,covered,D1D,all; 數值題101-200; 邏輯組:不應答; 邏輯組:應答; 邏輯組:條件,
消費者2,covered,D1D5,all; 數值題101-200; 邏輯組:不應答; 邏輯組:應答,
消費者2,covered,D1U,all; 數值題101-200; 邏輯組:不應答; 邏輯組:應答; 邏輯組:條件,
消費者2,covered,D1U5,all; 數值題101-200; 邏輯組:不應答; 邏輯組:應答,
消費者2,covered,E1,all; 數值題101-200,
消費者2,covered,F1,all; 數值題101-200; 複選題_251-300; 複選題變項清單; 邏輯組:條件,
消費者2,covered,F1_1,all; 數值題101-200; 邏輯組:不應答; 邏輯組:應答,
消費者2,covered,F1_2,all; 數值題101-200; 邏輯組:不應答; 邏輯組:應答,
消費者2,covered,F1_3,all; 數值題101-200; 邏輯組:不應答; 邏輯組:應答,
消費者2,covered,F2,all; 數值題101-200; 複選題_251-300; 複選題內_互斥; 複選題變項清單,
消費者2,covered,F4,all; 數值題101-200,
消費者2,covered,F5,all; 數值題101-200,
消費者2,covered,F6,all; 數值題101-200,
消費者2,covered,F7,all; 數值題101-200,
消費者2,covered,G0,all; 數值題101-200; 邏輯組:條件,
消費者2,covered,G1,all; 數值題101-200,
消費者2,covered,G2,all; 數值題101-200,
消費者2,covered,G3,all; 數值題101-200,
消費者2,covered,G4,all; 數值題101-200,
消費者2,covered,G5,all; 數值題101-200,
消費者2,covered,G6,all; 數值題101-200,
消費者2,covered,G7,all; 數值題101-200,
消費者2,covered,X1,all; 數值題101-200,
淨零,word_missing_in_excel,0,,0 請問您的性別? (1)男 (2)女
淨零,word_missing_in_excel,71,,"71_1 請問您目前是老闆還是員工?【續答第71_2題】 【若您已退休且目前沒有工作,請回答「退休前的工作」】 (01) 自己當老闆(包括與配偶或合夥人),而且有雇用別人(指連續3個月以上,且每週工作30小時以上) (02) 自己當老闆(包括與配偶或合夥人),沒有雇用別人(含SOHO族)【自營作業者,包括自耕農,短期、臨時性僱用員工歸入此類) (03) 幫家裡工作,有拿薪水 (04) 幫家裡工作,沒有拿薪水 (05) 為私人雇主或私人機構工作【受雇於民營單位或民營企業,含私立醫院與私立學校】 (06) 為公營企業工作【如:中油、台電、台糖、台銀、土銀、台菸、中華郵政、港務公司等】 (07) 為政府機構工作【含公立學校教師】 (08)"
淨零,excel_not_found_in_word,33_1,all; 數值題101-250; 邏輯組:不應答; 邏輯組:應答,
淨零,excel_not_found_in_word,33_2,all; 數值題101-250; 邏輯組:不應答; 邏輯組:應答,
淨零,excel_not_found_in_word,33_3,all; 數值題101-250; 邏輯組:不應答; 邏輯組:應答,
淨零,excel_not_found_in_word,33_4,all; 數值題101-250; 邏輯組:不應答; 邏輯組:應答,
淨零,excel_not_found_in_word,33_5,all; 數值題101-250; 邏輯組:不應答; 邏輯組:應答,
淨零,excel_not_found_in_word,71_1,all; 數值題101-250; 邏輯組:不應答; 邏輯組:應答; 開放欄位251-300,
淨零,excel_not_found_in_word,71_2s1,all; 邏輯組:不應答; 邏輯組:應答; 開放欄位251-300,
淨零,excel_not_found_in_word,71_2s2,all; 邏輯組:不應答; 邏輯組:應答; 開放欄位251-300,
淨零,excel_not_found_in_word,71_2s3,all; 邏輯組:不應答; 邏輯組:應答; 開放欄位251-300,
淨零,excel_not_found_in_word,71_2s4,all; 邏輯組:不應答; 邏輯組:應答; 開放欄位251-300,
淨零,excel_not_found_in_word,EN,all; 數值題101-250,
淨零,excel_not_found_in_word,Z1city_oth,all; 開放欄位251-300,
淨零,excel_not_found_in_word,Z2city_oth,all; 開放欄位251-300,
淨零,excel_not_found_in_word,Z3city_oth,all; 開放欄位251-300,
淨零,excel_not_found_in_word,b,邏輯組:條件,
淨零,covered,1,all; 數值題101-250,
淨零,covered,2,all; 數值題101-250; 開放欄位251-300,
淨零,covered,3,all; 數值題101-250,
淨零,covered,4,all; 數值題101-250,
淨零,covered,5,all; 數值題101-250,
淨零,covered,6,all; 數值題101-250,
淨零,covered,7,all; 數值題101-250,
淨零,covered,8,all; 數值題101-250,
淨零,covered,9,all; 數值題101-250,
淨零,covered,10,all; 數值題101-250,
淨零,covered,11,all; 數值題101-250,
淨零,covered,12,all; 數值題101-250,
淨零,covered,13,all; 數值題101-250; 開放欄位251-300,
淨零,covered,14,all; 數值題101-250,
淨零,covered,15,all; 數值題101-250,
淨零,covered,16,all; 數值題101-250,
淨零,covered,17,all; 數值題101-250,
淨零,covered,18,all; 數值題101-250,
淨零,covered,19,all; 數值題101-250; 開放欄位251-300,
淨零,covered,20,all; 數值題101-250,
淨零,covered,21,all; 數值題101-250,
淨零,covered,22,all; 數值題101-250,
淨零,covered,23,all; 數值題101-250,
淨零,covered,24,all; 數值題101-250,
淨零,covered,25,all; 數值題101-250,
淨零,covered,26,all; 數值題101-250,
淨零,covered,27,all; 數值題101-250; 開放欄位251-300,
淨零,covered,28,all; 數值題101-250; 開放欄位251-300,
淨零,covered,29,all; 數值題101-250; 開放欄位251-300,
淨零,covered,30,all; 數值題101-250,
淨零,covered,31,all; 數值題101-250,
淨零,covered,32,all; 數值題101-250,
淨零,covered,33,all; 數值題101-250,
淨零,covered,34,all; 數值題101-250,
淨零,covered,35,all; 數值題101-250,
淨零,covered,36,all; 數值題101-250,
淨零,covered,37,all; 數值題101-250,
淨零,covered,38,all; 數值題101-250,
淨零,covered,39,all; 數值題101-250,
淨零,covered,40,all; 數值題101-250,
淨零,covered,41,all; 數值題101-250,
淨零,covered,42,all; 數值題101-250,
淨零,covered,43,all; 數值題101-250,
淨零,covered,44,all; 數值題101-250,
淨零,covered,45,all; 數值題101-250; 複選題_301-400; 複選題內_互斥; 複選題變項清單; 開放欄位251-300,
淨零,covered,46,all; 數值題101-250; 複選題_301-400; 複選題內_互斥; 複選題變項清單,
淨零,covered,47,all; 數值題101-250,
淨零,covered,48,all; 數值題101-250; 複選題_301-400; 複選題內_互斥; 複選題變項清單,
淨零,covered,49,all; 數值題101-250,
淨零,covered,50,all; 數值題101-250; 邏輯組:條件; 開放欄位251-300,
淨零,covered,51,all; 數值題101-250; 邏輯組:不應答; 邏輯組:應答; 開放欄位251-300,
淨零,covered,52,all; 數值題101-250; 開放欄位251-300,
淨零,covered,53,all; 數值題101-250,
淨零,covered,54,all; 數值題101-250,
淨零,covered,55,all; 數值題101-250,
淨零,covered,56,all; 數值題101-250,
淨零,covered,57,all; 數值題101-250; 邏輯組:條件; 開放欄位251-300,
淨零,covered,58,all; 數值題101-250; 邏輯組:不應答; 邏輯組:應答; 開放欄位251-300,
淨零,covered,59,all; 數值題101-250; 開放欄位251-300,
淨零,covered,60,all; 數值題101-250,
淨零,covered,61,all; 數值題101-250,
淨零,covered,62,all; 數值題101-250,
淨零,covered,63,all; 數值題101-250,
淨零,covered,64,all; 數值題101-250,
淨零,covered,65,all; 數值題101-250,
淨零,covered,66,all; 數值題101-250,
淨零,covered,67,all; 數值題101-250,
淨零,covered,68,all; 數值題101-250,
淨零,covered,69,all; 數值題101-250; 開放欄位251-300,
淨零,covered,70,all; 數值題101-250; 邏輯組:條件; 開放欄位251-300,
淨零,covered,72,all; 數值題101-250,
淨零,covered,73,all; 數值題101-250,
淨零,covered,74,all; 數值題101-250; 開放欄位251-300,
淨零,covered,75,all; 數值題101-250; 開放欄位251-300,
淨零,covered,76,all; 數值題101-250,
淨零,covered,77,all; 數值題101-250,
淨零,covered,CK49,all; 數值題101-250,
淨零,covered,Z1,all; 數值題101-250,
淨零,covered,Z2,all; 數值題101-250; 邏輯組:不應答; 邏輯組:應答,
淨零,covered,Z3,all; 數值題101-250; 邏輯組:不應答; 邏輯組:應答,
