row,var,status,mismatch_reason,existing_in_or_not,proposed_in_or_not,existing_range,proposed_range,alternative_range,existing_decimal_check,proposed_decimal_check,decimal_note,question_excerpt
18,vQ10,match,,range,range,"range(vQ10,1,3)","range(vQ10,1,3)","range(vQ10,1,3)",,,,"Q10請問您預計在「一年後」,個人(或同住家人的家庭)每個月在「交通與能源經常性開銷」(如油錢、通勤搭車、水電瓦斯等),與目前(貼Q3答案)相比,會有什麼變化?【邏輯:Q3填答0,此題不可回答減少】(1)增加[續答Q11_1]   (2)減少[跳答Q11_2]   (3)大致不變[跳答Q12]"
19,vQ11_1,match,,range,range,"range(vQ11_1,1,999999999,9999999996,9999999996)","range(vQ11_1,1,999999999,9999999996,9999999996)","(range(vQ11_1,1,999999999) | range(vQ11_1,9999999996,9999999996))",,,,"Q11_1承上題,您預期一年後交通與能源經常性開銷會增加,請問相較於目前(貼Q3答案),每個月大約會增加多少元?(本題答案應為大於等於1的整數)[跳答Q12]【填答範圍設定大於等於1】每個月增加_________元(請填寫差額)"
20,vQ11_2,match,,range,range,"range(vQ11_2,1,999999999,9999999996,9999999996)","range(vQ11_2,1,999999999,9999999996,9999999996)","(range(vQ11_2,1,999999999) | range(vQ11_2,9999999996,9999999996))",,,,"Q11_2承上題,您預期一年後交通與能源經常性開銷會減少,請問相較於目前(貼Q3答案),每個月大約會減少多少元?(本題答案應為大於等於1的整數)【填答範圍設定大於等於1,且不可大於Q3】每個月減少_________元(請填寫差額)"
21,vQ12,match,,range,range,"range(vQ12,1,3)","range(vQ12,1,3)","range(vQ12,1,3)",,,,"Q12請問您預計在「一年後」,個人(或同住家人的家庭)每個月在「生活經常性的整體開銷」(包含房租、貸款、水電、吃飯、交通、娛樂等等),與目前(貼Q4答案)相比,會有什麼變化?【邏輯:Q4填答0,此題不可回答減少】(1)增加[續答Q13_1]   (2)減少[跳答Q13_2]   (3)大致不變[跳答Q14]"
22,vQ13_1,match,,range,range,"range(vQ13_1,1,999999999,9999999996,9999999996)","range(vQ13_1,1,999999999,9999999996,9999999996)","(range(vQ13_1,1,999999999) | range(vQ13_1,9999999996,9999999996))",,,,"Q13_1承上題,您預期一年後生活經常性的整體開銷會增加,請問相較於目前(貼Q4答案),每個月大約會增加多少錢?(本題答案應為大於等於1的整數)[跳答Q14]【填答範圍設定大於等於1】每個月增加_________元(請填寫差額)"
23,vQ13_2,match,,range,range,"range(vQ13_2,1,999999999,9999999996,9999999996)","range(vQ13_2,1,999999999,9999999996,9999999996)","(range(vQ13_2,1,999999999) | range(vQ13_2,9999999996,9999999996))",,,,"Q13_2承上題,您預期一年後生活經常性的整體開銷會減少,請問相較於目前(貼Q4答案),每個月大約會減少多少錢?(本題答案應為大於等於1的整數)【填答範圍設定大於等於1,且不可大於Q4】每個月減少_________元(請填寫差額)"
24,vQ12CK,match,,range,range,"range(vQ12CK,1,3)","range(vQ12CK,1,3)","range(vQ12CK,1,3)",,,,"Q12CK請問您預計在「一年後」,個人(或同住家人的家庭)每個月在「生活經常性的整體開銷」(包含房租、貸款、水電、吃飯、交通、娛樂等等),與目前(貼CKQ4答案)相比,會有什麼變化?【邏輯:Q1+Q2+Q3>Q4顯示此題,調查結束後答案併回Q12,此題變項刪除不提供】(1)增加[續答Q13_1CK]   (2)減少[跳答Q13_2CK]   (3)大致不變[跳答Q14]"
25,vQ13_1CK,match,,range,range,"range(vQ13_1CK,1,999999999,9999999996,9999999996)","range(vQ13_1CK,1,999999999,9999999996,9999999996)","(range(vQ13_1CK,1,999999999) | range(vQ13_1CK,9999999996,9999999996))",,,,"Q13_1CK承上題,您預期一年後生活經常性的整體開銷會增加,請問相較於目前(貼CKQ4答案),每個月大約會增加多少錢?(本題答案應為大於等於1的整數)[跳答Q14]【填答範圍設定大於等於1,調查結束後答案併回Q13_1,此題變項刪除不提供】每個月增加_________元(請填寫差額)"
26,vQ13_2CK,match,,range,range,"range(vQ13_2CK,1,999999999,9999999996,9999999996)","range(vQ13_2CK,1,999999999,9999999996,9999999996)","(range(vQ13_2CK,1,999999999) | range(vQ13_2CK,9999999996,9999999996))",,,,"Q13_2CK承上題,您預期一年後生活經常性的整體開銷會減少,請問相較於目前(貼CKQ4答案),每個月大約會減少多少錢?(本題答案應為大於等於1的整數)【填答範圍設定大於等於1,且不可大於CKQ4;調查結束後答案併回Q13_2,此題變項刪除不提供】每個月減少_________元(請填寫差額)"
27,vQ14,match,,range,range,"range(vQ14,1,3)","range(vQ14,1,3)","range(vQ14,1,3)",,,,"Q14請問您預計在「一年後」,個人(或同住家人的家庭)每個月在「保健醫療的開銷」(包含醫院、診所醫療費用、藥品費、醫療器材與設備、個人醫療保險等),與目前(貼Q5答案)相比,會有什麼變化?【邏輯:Q5填答0,此題不可回答減少】(1)增加[續答Q15_1]   (2)減少[跳答Q15_2]   (3)大致不變[跳答Q16]"
28,vQ15_1,match,,range,range,"range(vQ15_1,1,999999999,9999999996,9999999996)","range(vQ15_1,1,999999999,9999999996,9999999996)","(range(vQ15_1,1,999999999) | range(vQ15_1,9999999996,9999999996))",,,,"Q15_1承上題,您預期一年後保健醫療的開銷會增加,請問相較於目前(貼Q5答案),每個月大約會增加多少錢?(本題答案應為大於等於1的整數)[跳答Q16]【填答範圍設定大於等於1】每個月增加_________元(請填寫差額)"
29,vQ15_2,match,,range,range,"range(vQ15_2,1,999999999,9999999996,9999999996)","range(vQ15_2,1,999999999,9999999996,9999999996)","(range(vQ15_2,1,999999999) | range(vQ15_2,9999999996,9999999996))",,,,"Q15_2承上題,您預期一年後保健醫療的開銷會減少,請問相較於目前(貼Q5答案),每個月大約會減少多少錢?(本題答案應為大於等於1的整數)【填答範圍設定大於等於1,且不可大於Q5】每個月減少_________元(請填寫差額)3物價預期的相關問題(此部分若您不知道明確方向,可用直覺回答)Q16您預期在一年後,臺灣消費者物價指數與這一兩個月相比,會上升、下降、還是大致不變?(1)上升[續答Q17_1]   (2)下降[跳答Q17_2]   (3)大致不變[跳答Q19]"
30,vQ16,match,,range,range,"range(vQ16,1,3)","range(vQ16,1,3)","range(vQ16,1,3)",,,,
31,vQ17_1,match,,range,range,"range(vQ17_1,1,4,96,96)","range(vQ17_1,1,4,96,96)","(range(vQ17_1,1,4) | range(vQ17_1,96,96))",,,,"Q17_1承上題,根據主計總處發布115年1、2月平均消費者物價指數比去年同期上漲1.23%。請問您預期在一年後,消費者物價指數相較這一兩個月,會落在哪個區間?  (1) 1.24%(含)~1.50%(2) 1.50%(含)~2.00%(3) 2.00%(含)~2.50%(4) 2.50%(含)~3.00%(5) 3.00%(含)以上"
32,vQ17_1A,review,range differs; decimal check missing/differs,range,range,"range(vQ17_1A,3,999,9999996,9999996)","(range(vQ17_1A,3,999,9999996,9999996) & mod(vQ17_1A*100,1)=0)","(range(vQ17_1A,3,999) | range(vQ17_1A,9999996,9999996))",,"&mod(vQ17_1A*100,1)=0",allow up to 2 decimal places,"Q17_1A您上一題勾選預期一年後,消費者物價指數相較這一兩個月,會「上升至3.00%(含)以上」,請問是上升至多少%呢? (可輸入至小數點2位)[Q17_1選(4)顯示此題]上升至____%CK17_1A115年1、2月平均消費者物價指數比去年同期上漲幅度為1.23%,而您預期一年後將上升至(貼Q17_1A的答案)%。請確認您的回答是否與您的想法相符,或是輸入有誤。[Q17_1A大於等於50顯示CK17_1A,不到50則跳至Q18](1) 輸入正確,與我的想法相符(2) 輸入錯誤,正確應為上升至___% (請填數字)"
33,vCK17_1A,match,,range,range,"range(vCK17_1A,1,2,96,96)","range(vCK17_1A,1,2,96,96)","(range(vCK17_1A,1,2) | range(vCK17_1A,96,96))",,,,
34,vQ18,match,,range,range,"range(vQ18,1,7,96,96)","range(vQ18,1,7,96,96)","(range(vQ18,1,7) | range(vQ18,96,96))",,,,"Q18請問您認為一年後消費者物價上漲的最主要原因是下列哪一個?[跳至Q19](1) 大宗原物料價格可能上漲(含石油、天然氣、礦產、小麥、玉米等)(2) 美國關稅政策實施可能引起的全球貿易戰,導致全球生產成本提高(3) 水、電價可能調漲(4) 交通運輸價格可能調漲(5) 天候因素(6) 最低工資可能繼續調升 (7) 其他因素,請說明________________4利率預期的相關問題(此部分若您不知道明確方向,可用直覺回答)Q19央行發布115年1月本國五大公股銀行新承做放款加權平均利率為2.091%。您預期在一年後,臺灣平均借貸利率與這一兩個月相比,會上升、下降、還是大致不變?(1)上升[續答Q20_1]   (2)下降[跳答Q20_2]   (3)大致不變[跳答Q21]"
35,vQ17_2,match,,range,range,"range(vQ17_2,1,3,96,96)","range(vQ17_2,1,3,96,96)","(range(vQ17_2,1,3) | range(vQ17_2,96,96))",,,,"Q17_2承上題,根據主計總處發布115年1、2月平均消費者物價指數比去年同期上漲1.23%。請問您預期在一年後,消費者物價指數相較這一兩個月,會落在哪個區間? (1) 低於0.50%(2) 0.50%(含)~1.00%(3) 1.00%(含)~ 1.22%"
36,vQ17_2A,review,range differs; decimal check missing/differs,range,range,"range(vQ17_2A,2,100,96,96)","(range(vQ17_2A,2,100,96,96) & mod(vQ17_2A*100,1)=0)","(range(vQ17_2A,2,100) | range(vQ17_2A,96,96))",,"&mod(vQ17_2A*100,1)=0",allow up to 2 decimal places,"Q17_2A您上一題勾選預期一年後,消費者物價指數相較這一兩個月,會「下降至低於0.5%」,請問為多少%呢?(可輸入至小數點2位)[Q17_2選(1)顯示此題,範圍設定小於0.5]下降至____%CK17_2A115年1、2月平均消費者物價指數比去年同期上漲幅度為1.23%,而您預期一年後將下降至(貼Q17_2A的答案)%。請確認您的回答是否與您的想法相符,或是輸入有誤。[Q17_2A為0%或負值,顯示CK17_2A,正值則跳至Q19](1) 輸入正確,與我的想法相符(2) 輸入錯誤,正確應下降至___% (請填數字,可輸入至小數點2位)"
37,vCK17_2A,match,,range,range,"range(vCK17_2A,1,2,96,96)","range(vCK17_2A,1,2,96,96)","(range(vCK17_2A,1,2) | range(vCK17_2A,96,96))",,,,
38,vQ19,match,,range,range,"range(vQ19,1,3)","range(vQ19,1,3)","range(vQ19,1,3)",,,,
39,vQ20_1,match,,range,range,"range(vQ20_1,1,5,96,96)","range(vQ20_1,1,5,96,96)","(range(vQ20_1,1,5) | range(vQ20_1,96,96))",,,,"Q20_1承上題,115年1月本國五大公股銀行新承做放款加權平均利率為2.091%。請問您預期在一年後,平均借貸利率相較這一兩個月,會落在哪個區間?(1) 2.10百分點(含)~2.50百分點(2) 2.50百分點(含)~3.00百分點(3) 3.00百分點(含)~3.50百分點(4) 3.50百分點(含)~4.00百分點"
40,vQ20_1A,match,,range,range,"range(vQ20_1A,0.3,10,96,96)","range(vQ20_1A,0.3,10,96,96)","(range(vQ20_1A,0.3,10) | range(vQ20_1A,96,96))",,,,
41,vQ20_2,match,,range,range,"range(vQ20_2,1,5,96,96)","range(vQ20_2,1,5,96,96)","(range(vQ20_2,1,5) | range(vQ20_2,96,96))",,,,"Q20_2承上題,115年1月本國五大公股銀行新承做放款加權平均利率為2.091%。請問您預期在一年後,平均借貸利率相較這一兩個月,會落在哪個區間?(1) 0.00百分點(含)~0.50百分點(2) 0.50百分點(含)~1.00百分點(3) 1.00百分點(含)~1.50百分點(4) 1.50百分點(含)~2.09百分點5政策相關問題Q21政府去年11月開始普發現金給每人10,000元,這10,000元您本人是已經全部花掉?部分花掉?還沒花用或還沒有領?(說明:存起來、給家用、投資或轉交他人使用,皆視為已使用)(1)全部花掉   (2)部分花掉   (3)還沒花用,包含還沒領Q22這10,000元當中,您本人有沒有計畫或已經使用在「原本沒有打算買的東西或活動」?例如,原本沒有打算旅遊或買鞋,因為這10,000"
42,vQ20_2A,match,,range,range,"range(vQ20_2A,0.3,2.091,96,96)","range(vQ20_2A,0.3,2.091,96,96)","(range(vQ20_2A,0.3,2.091) | range(vQ20_2A,96,96))",,,,
43,vQ21,match,,range,range,"range(vQ21,1,3)","range(vQ21,1,3)","range(vQ21,1,3)",,,,
44,vQ22,match,,range,range,"range(vQ22,1,2)","range(vQ22,1,2)","range(vQ22,1,2)",,,,
45,vQ23,match,,range,range,"range(vQ23,1,10000,999996,999996)","range(vQ23,1,10000,999996,999996)","(range(vQ23,1,10000) | range(vQ23,999996,999996))",,,,"Q23承上題,請問您本人計畫或已經花了多少錢在「原本沒有打算買的東西或活動」?(若超過10,000,請您填寫10,000元)[Q23等於10000則跳至Q25]_________元Q24除了用於消費或支付日常開銷,您有沒有計畫或已經將這10,000元使用於其它用途。例如,存起來、投資、買保單、繳稅,或是其它?(可複選)(1)沒有(2)有:存起來/投資/買保單(3)有:繳稅(4)有:捐贈(5)有:繳貸款(6)其它"
46,vQ24m1,match,,range,range,"range(vQ24m1,0,1,96,96)","range(vQ24m1,0,1,96,96)","(range(vQ24m1,0,1) | range(vQ24m1,96,96))",,,,
47,vQ24m2,match,,range,range,"range(vQ24m2,0,1,96,96)","range(vQ24m2,0,1,96,96)","(range(vQ24m2,0,1) | range(vQ24m2,96,96))",,,,
48,vQ24m3,match,,range,range,"range(vQ24m3,0,1,96,96)","range(vQ24m3,0,1,96,96)","(range(vQ24m3,0,1) | range(vQ24m3,96,96))",,,,
49,vQ24m4,match,,range,range,"range(vQ24m4,0,1,96,96)","range(vQ24m4,0,1,96,96)","(range(vQ24m4,0,1) | range(vQ24m4,96,96))",,,,
50,vQ24m5,match,,range,range,"range(vQ24m5,0,1,96,96)","range(vQ24m5,0,1,96,96)","(range(vQ24m5,0,1) | range(vQ24m5,96,96))",,,,
51,vQ24m6,match,,range,range,"range(vQ24m6,0,1,96,96)","range(vQ24m6,0,1,96,96)","(range(vQ24m6,0,1) | range(vQ24m6,96,96))",,,,
52,vQ25,match,,range,range,"range(vQ25,1,3,7,7)","range(vQ25,1,3,7,7)","(range(vQ25,1,3) | range(vQ25,7,7))",,,,"Q25請問您認為在您的居住城市,預期在未來半年後,房價會比現在低還是高?(1)比現在低[續答Q26_1]    (2)比現在高[跳答Q26_2]   (3)大致不變[跳答Q27]      (7)不知道[跳答Q27]"
53,vQ26_1,match,,range,range,"range(vQ26_1,1,5,96,96)","range(vQ26_1,1,5,96,96)","(range(vQ26_1,1,5) | range(vQ26_1,96,96))",,,,"Q26_1承上題,請問您預期半年後,房價平均大致會比現在低多少百分比?[跳答Q27](1) 1%(含)~2%(2) 2%(含)~5% (3) 5%(含)~10%(4) 10%(含)~20%(5) 20%(含)以上"
54,vQ26_2,match,,range,range,"range(vQ26_2,1,5,96,96)","range(vQ26_2,1,5,96,96)","(range(vQ26_2,1,5) | range(vQ26_2,96,96))",,,,"Q26_2承上題,請問您預期半年後,房價平均大致會比現在漲多少百分比?(1) 1%(含)~2%(2) 2%(含)~5% (3) 5%(含)~10%(4) 10%(含)~20%(5) 20%(含)以上6基本資料"
55,vQ28,match,,range,range,"range(vQ28,21,95)","range(vQ28,21,95)","range(vQ28,21,95)",,,,Q28請問您是民國幾年出生?民國______年【範圍設定21-95】
56,vQ29,match,,range,range,"range(vQ29,1,6)","range(vQ29,1,6)","range(vQ29,1,6)",,,,Q29請問您的最高學歷是什麼?(含肄業及就學中)(1)國小以下(2)國(初)中(3)高中職(4)專科(5)大學(6)碩博士
57,vQ30,match,,range,range,"range(vQ30,1,5)","range(vQ30,1,5)","range(vQ30,1,5)",,,,Q30請問您個人(或同住家人的家庭)每月經常性收入大約是在以下哪個範圍?(說明:經常性收入包含薪資、房租、捐贈等其他收入)(1)少於3萬(2) 3萬(含)~6萬(3) 6萬(含)~10萬(4) 10萬(含)~15萬(5) 15萬(含)以上Q31您的性別(1)男    (2)女
58,vQ31,match,,range,range,"range(vQ31,1,2)","range(vQ31,1,2)","range(vQ31,1,2)",,,,
59,vQ32,match,,range,range,"range(vQ32,1,2)","range(vQ32,1,2)","range(vQ32,1,2)",,,,"Q32請問您有沒有小型車駕照?(說明:小型車指自用、營業或租賃小客車、小貨車及小客貨兩用車)(1)有    (2)沒有END非常感謝您的填答!以下提供統一超商(7-11) 50元現金折價券PIN碼及抽獎號碼,請自行記下或截圖保存:⬛PIN碼:${A:PIN}(兌換期限至115年4月30日)⬛抽獎號碼:${A:N}(將於4月上旬進行抽獎並提供統一超商現金折價券PIN碼給中獎者)********************************************如何使用折價券?使用規則:1.折價券須透過7-"
60,vEND3,match,,range,range,"range(vEND3,20260310000000,20260330000000)","range(vEND3,20260310000000,20260330000000)","range(vEND3,20260310000000,20260330000000)",,,,
