var,qid_candidates,matched_question,existing_r1,existing_r2,existing_r3,existing_r4,proposed_r1,proposed_r2,proposed_r3,proposed_r4,confidence,source,note,compare_status,mismatch_reason,question_excerpt
vQ6,Q6,Q6,"1,3",,,,"1,3",96,,,medium,option-code span,optional question; inferred special code by value digit width,range_match_special_diff,r1 matches; special code columns differ,"Q6請問您預計在「一年後」,個人(或同住家人的家庭)每個月在「房租或房屋貸款」,與目前(貼Q1答案)相比,會有什麼變化?【邏輯:Q1填答0,此題不可回答減少】 (1)增加[續答Q7_1] (2)減少[跳答Q7_2] (3)大致不變[跳答Q8]"
vQ7_1,Q7_1,Q7_1,"1,999999999",9999999996,,,"1,999999999",9999999996,,,high,explicit lower-bound range,standard not-applicable code for increase/decrease amount,match,,"Q7_1承上題,您預期一年後房租或房屋貸款會增加,請問相較於目前(貼Q1答案),每個月大約會增加多少元?(本題答案應為大於等於1的整數)[跳答Q8]【填答範圍設定大於等於1】 每個月增加_________元(請填寫差額)"
vQ7_2,Q7_2,Q7_2,"1,999999999",9999999996,,,"1,999999999",9999999996,,,high,explicit lower-bound range,standard not-applicable code for increase/decrease amount,match,,"Q7_2承上題,您預期一年後房租或房屋貸款會減少,請問相較於目前(貼Q1答案),每個月大約會減少多少元?(本題答案應為大於等於1的整數)【填答範圍設定大於等於1,且不可大於Q1】 每個月減少_________元(請填寫差額)"
vQ8,Q8,Q8,"1,3",,,,"1,3",96,,,medium,option-code span,optional question; inferred special code by value digit width,range_match_special_diff,r1 matches; special code columns differ,"Q8請問您預計在「一年後」,個人(或同住家人的家庭)每個月在「食物經常性開銷」,與目前(貼Q2答案)相比,會有什麼變化?【邏輯:Q2填答0,此題不可回答減少】 (1)增加[續答Q9_1] (2)減少[跳答Q9_2] (3)大致不變[跳答Q10]"
vQ9_1,Q9_1,Q9_1,"1,999999999",9999999996,,,"1,999999999",9999999996,,,high,explicit lower-bound range,standard not-applicable code for increase/decrease amount,match,,"Q9_1承上題,您預期一年後食物經常性開銷會增加,請問相較於目前(貼Q2答案),每個月大約會增加多少元?(本題答案應為大於等於1的整數)[跳答Q10]【填答範圍設定大於等於1】 每個月增加_________元(請填寫差額)"
vQ9_2,Q9_2,Q9_2,"1,999999999",9999999996,,,"1,999999999",9999999996,,,high,explicit lower-bound range,standard not-applicable code for increase/decrease amount,match,,"Q9_2承上題,您預期一年後食物經常性開銷會減少,請問相較於目前(貼Q2答案),每個月大約會減少多少元?(本題答案應為大於等於1的整數)【填答範圍設定大於等於1,且不可大於Q2】 每個月減少_________元(請填寫差額)"
vQ10,Q10,Q10,"1,3",,,,"1,3",96,,,medium,option-code span,optional question; inferred special code by value digit width,range_match_special_diff,r1 matches; special code columns differ,"Q10請問您預計在「一年後」,個人(或同住家人的家庭)每個月在「交通與能源經常性開銷」(如油錢、通勤搭車、水電瓦斯等),與目前(貼Q3答案)相比,會有什麼變化?【邏輯:Q3填答0,此題不可回答減少】 (1)增加[續答Q11_1] (2)減少[跳答Q11_2] (3)大致不變[跳答Q12]"
vQ11_1,Q11_1,Q11_1,"1,999999999",9999999996,,,"1,999999999",9999999996,,,high,explicit lower-bound range,standard not-applicable code for increase/decrease amount,match,,"Q11_1承上題,您預期一年後交通與能源經常性開銷會增加,請問相較於目前(貼Q3答案),每個月大約會增加多少元?(本題答案應為大於等於1的整數)[跳答Q12]【填答範圍設定大於等於1】 每個月增加_________元(請填寫差額)"
vQ11_2,Q11_2,Q11_2,"1,999999999",9999999996,,,"1,999999999",9999999996,,,high,explicit lower-bound range,standard not-applicable code for increase/decrease amount,match,,"Q11_2承上題,您預期一年後交通與能源經常性開銷會減少,請問相較於目前(貼Q3答案),每個月大約會減少多少元?(本題答案應為大於等於1的整數)【填答範圍設定大於等於1,且不可大於Q3】 每個月減少_________元(請填寫差額)"
vQ12,Q12,Q12,"1,3",,,,"1,3",96,,,medium,option-code span,optional question; inferred special code by value digit width,range_match_special_diff,r1 matches; special code columns differ,"Q12請問您預計在「一年後」,個人(或同住家人的家庭)每個月在「生活經常性的整體開銷」(包含房租、貸款、水電、吃飯、交通、娛樂等等),與目前(貼Q4答案)相比,會有什麼變化?【邏輯:Q4填答0,此題不可回答減少】 (1)增加[續答Q13_1] (2)減少[跳答Q13_2] (3)大致不變[跳答Q14]"
vQ13_1,Q13_1,Q13_1,"1,999999999",9999999996,,,"1,999999999",9999999996,,,high,explicit lower-bound range,standard not-applicable code for increase/decrease amount,match,,"Q13_1承上題,您預期一年後生活經常性的整體開銷會增加,請問相較於目前(貼Q4答案),每個月大約會增加多少錢?(本題答案應為大於等於1的整數)[跳答Q14]【填答範圍設定大於等於1】 每個月增加_________元(請填寫差額)"
vQ13_2,Q13_2,Q13_2,"1,999999999",9999999996,,,"1,999999999",9999999996,,,high,explicit lower-bound range,standard not-applicable code for increase/decrease amount,match,,"Q13_2承上題,您預期一年後生活經常性的整體開銷會減少,請問相較於目前(貼Q4答案),每個月大約會減少多少錢?(本題答案應為大於等於1的整數)【填答範圍設定大於等於1,且不可大於Q4】 每個月減少_________元(請填寫差額)"
vQ12CK,Q12CK|Q12,Q12,"1,3",,,,"1,3",96,,,medium,option-code span,optional question; inferred special code by value digit width,range_match_special_diff,r1 matches; special code columns differ,"Q12請問您預計在「一年後」,個人(或同住家人的家庭)每個月在「生活經常性的整體開銷」(包含房租、貸款、水電、吃飯、交通、娛樂等等),與目前(貼Q4答案)相比,會有什麼變化?【邏輯:Q4填答0,此題不可回答減少】 (1)增加[續答Q13_1] (2)減少[跳答Q13_2] (3)大致不變[跳答Q14]"
vQ13_1CK,Q13_1CK|Q13_1,Q13_1,"1,999999999",9999999996,,,"1,999999999",9999999996,,,high,explicit lower-bound range,standard not-applicable code for increase/decrease amount,match,,"Q13_1承上題,您預期一年後生活經常性的整體開銷會增加,請問相較於目前(貼Q4答案),每個月大約會增加多少錢?(本題答案應為大於等於1的整數)[跳答Q14]【填答範圍設定大於等於1】 每個月增加_________元(請填寫差額)"
vQ13_2CK,Q13_2CK|Q13_2,Q13_2,"1,999999999",9999999996,,,"1,999999999",9999999996,,,high,explicit lower-bound range,standard not-applicable code for increase/decrease amount,match,,"Q13_2承上題,您預期一年後生活經常性的整體開銷會減少,請問相較於目前(貼Q4答案),每個月大約會減少多少錢?(本題答案應為大於等於1的整數)【填答範圍設定大於等於1,且不可大於Q4】 每個月減少_________元(請填寫差額)"
vQ14,Q14,Q14,"1,3",,,,"1,3",96,,,medium,option-code span,optional question; inferred special code by value digit width,range_match_special_diff,r1 matches; special code columns differ,"Q14請問您預計在「一年後」,個人(或同住家人的家庭)每個月在「保健醫療的開銷」(包含醫院、診所醫療費用、藥品費、醫療器材與設備、個人醫療保險等),與目前(貼Q5答案)相比,會有什麼變化?【邏輯:Q5填答0,此題不可回答減少】 (1)增加[續答Q15_1] (2)減少[跳答Q15_2] (3)大致不變[跳答Q16]"
vQ15_1,Q15_1,Q15_1,"1,999999999",9999999996,,,"1,999999999",9999999996,,,high,explicit lower-bound range,standard not-applicable code for increase/decrease amount,match,,"Q15_1承上題,您預期一年後保健醫療的開銷會增加,請問相較於目前(貼Q5答案),每個月大約會增加多少錢?(本題答案應為大於等於1的整數)[跳答Q16]【填答範圍設定大於等於1】 每個月增加_________元(請填寫差額)"
vQ15_2,Q15_2,Q15_2,"1,999999999",9999999996,,,"1,999999999",9999999996,,,high,explicit lower-bound range,standard not-applicable code for increase/decrease amount,match,,"Q15_2承上題,您預期一年後保健醫療的開銷會減少,請問相較於目前(貼Q5答案),每個月大約會減少多少錢?(本題答案應為大於等於1的整數)【填答範圍設定大於等於1,且不可大於Q5】 每個月減少_________元(請填寫差額)"
vQ16,Q16,Q16,"1,3",,,,"1,3",96,,,medium,option-code span,optional question; inferred special code by value digit width,range_match_special_diff,r1 matches; special code columns differ,"Q16您預期在一年後,臺灣消費者物價指數與這一兩個月相比,會上升、下降、還是大致不變? (1)上升[續答Q17_1] (2)下降[跳答Q17_2] (3)大致不變[跳答Q19]"
vQ17_1,Q17_1,Q17_1,"1,4",96,,,"1,5",96,,,medium,option-code span,optional question; inferred special code by value digit width,mismatch,Word option span includes codes that Excel excludes or stores as special code,"Q17_1承上題,根據主計總處發布115年1、2月平均消費者物價指數比去年同期上漲1.23%。請問您預期在一年後,消費者物價指數相較這一兩個月,會落在哪個區間? (1) 1.24%(含)~1.50% (2) 1.50%(含)~2.00% (3) 2.00%(含)~2.50% (4) 2.50%(含)~3.00% (5) 3.00%(含)以上"
vQ17_1A,Q17_1A,Q17_1A,"3,999",9999996,,,4,96,,,medium,option-code span,optional question; inferred special code by value digit width,mismatch,Word option span includes codes that Excel excludes or stores as special code,"Q17_1A您上一題勾選預期一年後,消費者物價指數相較這一兩個月,會「上升至3.00%(含)以上」,請問是上升至多少%呢? (可輸入至小數點2位)[Q17_1選(4)顯示此題] 上升至____%"
vCK17_1A,CK17_1A,CK17_1A,"1,2",96,,,,,,,manual,no explicit range or option span,,manual,no automatic proposal,CK17_1A
vQ18,Q18,Q18,"1,7",96,,,"1,7",,,,medium,option-code span,,range_match_special_diff,r1 matches; special code columns differ,"Q18請問您認為一年後消費者物價上漲的最主要原因是下列哪一個?[跳至Q19] (1) 大宗原物料價格可能上漲(含石油、天然氣、礦產、小麥、玉米等) (2) 美國關稅政策實施可能引起的全球貿易戰,導致全球生產成本提高 (3) 水、電價可能調漲 (4) 交通運輸價格可能調漲 (5) 天候因素 (6) 最低工資可能繼續調升 (7) 其他因素,請說明________________"
vQ17_2,Q17_2,Q17_2,"1,3",96,,,"1,3",96,,,medium,option-code span,optional question; inferred special code by value digit width,match,,"Q17_2承上題,根據主計總處發布115年1、2月平均消費者物價指數比去年同期上漲1.23%。請問您預期在一年後,消費者物價指數相較這一兩個月,會落在哪個區間? (1) 低於0.50% (2) 0.50%(含)~1.00% (3) 1.00%(含)~ 1.22%"
vQ17_2A,Q17_2A,Q17_2A,"2,100",96,,,"-100000,0.49999",9999996,,,medium,explicit upper-bound range,optional question; inferred special code by value digit width,mismatch,Word explicit range differs from current Excel rule,"Q17_2A您上一題勾選預期一年後,消費者物價指數相較這一兩個月,會「下降至低於0.5%」,請問為多少%呢?(可輸入至小數點2位)[Q17_2選(1)顯示此題,範圍設定小於0.5] 下降至____%"
vCK17_2A,CK17_2A,CK17_2A,"1,2",96,,,,,,,manual,no explicit range or option span,,manual,no automatic proposal,CK17_2A
vQ19,Q19,Q19,"1,3",,,,"1,3",96,,,medium,option-code span,optional question; inferred special code by value digit width,range_match_special_diff,r1 matches; special code columns differ,"Q19央行發布115年1月本國五大公股銀行新承做放款加權平均利率為2.091%。您預期在一年後,臺灣平均借貸利率與這一兩個月相比,會上升、下降、還是大致不變? (1)上升[續答Q20_1] (2)下降[跳答Q20_2] (3)大致不變[跳答Q21]"
vQ20_1,Q20_1,Q20_1,"1,5",96,,,"1,4",96,,,medium,option-code span,optional question; inferred special code by value digit width,mismatch,Word option span includes codes that Excel excludes or stores as special code,"Q20_1承上題,115年1月本國五大公股銀行新承做放款加權平均利率為2.091%。請問您預期在一年後,平均借貸利率相較這一兩個月,會落在哪個區間? (1) 2.10百分點(含)~2.50百分點 (2) 2.50百分點(含)~3.00百分點 (3) 3.00百分點(含)~3.50百分點 (4) 3.50百分點(含)~4.00百分點"
vQ20_1A,Q20_1A,,"0.3,10",96,,,,,,,manual,no block,needs parent-question mapping or manual review,manual,no automatic proposal,
vQ20_2,Q20_2,Q20_2,"1,5",96,,,"1,4",96,,,medium,option-code span,optional question; inferred special code by value digit width,mismatch,Word option span includes codes that Excel excludes or stores as special code,"Q20_2承上題,115年1月本國五大公股銀行新承做放款加權平均利率為2.091%。請問您預期在一年後,平均借貸利率相較這一兩個月,會落在哪個區間? (1) 0.00百分點(含)~0.50百分點 (2) 0.50百分點(含)~1.00百分點 (3) 1.00百分點(含)~1.50百分點 (4) 1.50百分點(含)~2.09百分點"
vQ20_2A,Q20_2A,,"0.3,2.091",96,,,,,,,manual,no block,needs parent-question mapping or manual review,manual,no automatic proposal,
vQ21,Q21,Q21,"1,3",,,,"1,3",,,,medium,option-code span,,match,,"Q21政府去年11月開始普發現金給每人10,000元,這10,000元您本人是已經全部花掉?部分花掉?還沒花用或還沒有領? (說明:存起來、給家用、投資或轉交他人使用,皆視為已使用) (1)全部花掉 (2)部分花掉 (3)還沒花用,包含還沒領"
vQ22,Q22,Q22,"1,2",,,,"1,2",96,,,medium,option-code span,optional question; inferred special code by value digit width,range_match_special_diff,r1 matches; special code columns differ,"Q22這10,000元當中,您本人有沒有計畫或已經使用在「原本沒有打算買的東西或活動」?例如,原本沒有打算旅遊或買鞋,因為這10,000元而安排旅遊或買了新鞋? (1)有 (2)沒有[跳答Q24]"
vQ23,Q23,Q23,"1,10000",999996,,,,,,,manual,no explicit range or option span,,manual,no automatic proposal,"Q23承上題,請問您本人計畫或已經花了多少錢在「原本沒有打算買的東西或活動」?(若超過10,000,請您填寫10,000元)[Q23等於10000則跳至Q25] _________元"
vQ24m1,Q24,Q24,"0,1",96,,,"0,1",96,,,high,multiple-response binary variable,from 複選題變項清單,match,,"Q24除了用於消費或支付日常開銷,您有沒有計畫或已經將這10,000元使用於其它用途。例如,存起來、投資、買保單、繳稅,或是其它?(可複選) (1)沒有 (2)有:存起來/投資/買保單 (3)有:繳稅 (4)有:捐贈 (5)有:繳貸款 (6)其它"
vQ24m2,Q24,Q24,"0,1",96,,,"0,1",96,,,high,multiple-response binary variable,from 複選題變項清單,match,,"Q24除了用於消費或支付日常開銷,您有沒有計畫或已經將這10,000元使用於其它用途。例如,存起來、投資、買保單、繳稅,或是其它?(可複選) (1)沒有 (2)有:存起來/投資/買保單 (3)有:繳稅 (4)有:捐贈 (5)有:繳貸款 (6)其它"
vQ24m3,Q24,Q24,"0,1",96,,,"0,1",96,,,high,multiple-response binary variable,from 複選題變項清單,match,,"Q24除了用於消費或支付日常開銷,您有沒有計畫或已經將這10,000元使用於其它用途。例如,存起來、投資、買保單、繳稅,或是其它?(可複選) (1)沒有 (2)有:存起來/投資/買保單 (3)有:繳稅 (4)有:捐贈 (5)有:繳貸款 (6)其它"
vQ24m4,Q24,Q24,"0,1",96,,,"0,1",96,,,high,multiple-response binary variable,from 複選題變項清單,match,,"Q24除了用於消費或支付日常開銷,您有沒有計畫或已經將這10,000元使用於其它用途。例如,存起來、投資、買保單、繳稅,或是其它?(可複選) (1)沒有 (2)有:存起來/投資/買保單 (3)有:繳稅 (4)有:捐贈 (5)有:繳貸款 (6)其它"
vQ24m5,Q24,Q24,"0,1",96,,,"0,1",96,,,high,multiple-response binary variable,from 複選題變項清單,match,,"Q24除了用於消費或支付日常開銷,您有沒有計畫或已經將這10,000元使用於其它用途。例如,存起來、投資、買保單、繳稅,或是其它?(可複選) (1)沒有 (2)有:存起來/投資/買保單 (3)有:繳稅 (4)有:捐贈 (5)有:繳貸款 (6)其它"
vQ24m6,Q24,Q24,"0,1",96,,,"0,1",96,,,high,multiple-response binary variable,from 複選題變項清單,match,,"Q24除了用於消費或支付日常開銷,您有沒有計畫或已經將這10,000元使用於其它用途。例如,存起來、投資、買保單、繳稅,或是其它?(可複選) (1)沒有 (2)有:存起來/投資/買保單 (3)有:繳稅 (4)有:捐贈 (5)有:繳貸款 (6)其它"
vQ25,Q25,Q25,"1,3",7,,,"1,7",96,,,medium,option-code span,optional question; inferred special code by value digit width,mismatch,Word option span includes codes that Excel excludes or stores as special code,"Q25請問您認為在您的居住城市,預期在未來半年後,房價會比現在低還是高? (1)比現在低[續答Q26_1] (2)比現在高[跳答Q26_2] (3)大致不變[跳答Q27] (7)不知道[跳答Q27]"
vQ26_1,Q26_1,Q26_1,"1,5",96,,,"1,5",96,,,medium,option-code span,optional question; inferred special code by value digit width,match,,"Q26_1承上題,請問您預期半年後,房價平均大致會比現在低多少百分比? [跳答Q27] (1) 1%(含)~2% (2) 2%(含)~5% (3) 5%(含)~10% (4) 10%(含)~20% (5) 20%(含)以上"
vQ26_2,Q26_2,Q26_2,"1,5",96,,,"1,5",96,,,medium,option-code span,optional question; inferred special code by value digit width,match,,"Q26_2承上題,請問您預期半年後,房價平均大致會比現在漲多少百分比? (1) 1%(含)~2% (2) 2%(含)~5% (3) 5%(含)~10% (4) 10%(含)~20% (5) 20%(含)以上"
vQ28,Q28,Q28,"21,95",,,,"21,95",,,,high,explicit range tag,,match,,Q28請問您是民國幾年出生?民國______年【範圍設定21-95】
vQ29,Q29,Q29,"1,6",,,,"1,6",,,,medium,option-code span,,match,,Q29請問您的最高學歷是什麼?(含肄業及就學中) (1)國小以下 (2)國(初)中 (3)高中職 (4)專科 (5)大學 (6)碩博士
vQ30,Q30,Q30,"1,5",,,,"1,5",,,,medium,option-code span,,match,,Q30請問您個人(或同住家人的家庭)每月經常性收入大約是在以下哪個範圍? (說明:經常性收入包含薪資、房租、捐贈等其他收入) (1)少於3萬 (2) 3萬(含)~6萬 (3) 6萬(含)~10萬 (4) 10萬(含)~15萬 (5) 15萬(含)以上
vQ31,Q31,Q31,"1,2",,,,"1,2",,,,medium,option-code span,,match,,Q31您的性別 (1)男 (2)女
vQ32,Q32,Q32,"1,2",,,,"1,2",,,,medium,option-code span,,match,,"Q32請問您有沒有小型車駕照? (說明:小型車指自用、營業或租賃小客車、小貨車及小客貨兩用車) (1)有 (2)沒有 END 非常感謝您的填答! 以下提供統一超商(7-11) 50元現金折價券PIN碼及抽獎號碼,請自行記下或截圖保存: ⬛PIN碼:${A:PIN}(兌換期限至115年4月30日) ⬛抽獎號碼:${A:N}(將於4月上旬進行抽獎並提供統一超商現金折價券PIN碼給中獎者) ******************************************** 如何使用折價券? 使用規則: 1.折"
vEND3,END3,,"20260310000000,20260330000000",,,,"20260310000000,20260330000000",,,,high,existing date range,from existing Excel date range,match,,
