var,qid,status,reason,existing_r1,existing_r2,existing_r3,existing_r4,proposed_r1,proposed_r2,proposed_r3,proposed_r4,source,question_excerpt
vCKE11,CKE11,mismatch,existing r1-r4 differ from proposal,"1,88",97,98,,97,98,,,option code span including table,"CKE11 檢查題(顯示題) 【請注意】【E2有答(03)或E17答(03)或E18答(03),且O1_1答(01)~(04)、(88),或O1答(01)~(05)、(12)、(13)、(14)、(88),且E11+E12=0者;或2. E2有答(03)或E17答(03)或E18答(03),且O1_1答(05)、(97)、(98),或O1答(06)~(11),且E12=0者】 您之前答會透過電腦上網,每星期因工作或課業所需和不是因工作或課業所需(例如:休閒娛樂、跟朋友連絡)電腦上網的時間加總不應為0時0分,請回到E11、E12重新確認時數。 (01)請重新確認E11、E12題時數 【互斥無法點"
vE14,E14,mismatch,existing r1-r4 differ from proposal,"0,100000",999991,999997,999998,999991,999997,999998,,option code span including table,"E14‧請問您每個月平均在網路上消費(買東西)大概花多少錢?(例如:購物、購買遊戲點數、下載音樂或電影等)【數值題,範圍0-100000,超過最大值則填999991】【E1答(01)者,需回答此題】 訪員注意: 1.若算不出來,請回想最近一個月的網路消費情形,請別人在網路上買東西不算。 2.若每個月消費的價格不一定(有時幾百塊、有時幾千塊),則以平均計算;如受訪者表示沒有在網路上消費,請鍵入「0」;超過10萬元請鍵入「999991」。 _____元 □ (999991)超過10萬元 □ (999997)不知道□ (999998)拒答 G、傳播行為(網路新聞篇)"
vG4,G4,mismatch,existing r1-r4 differ from proposal,"0.5,7",95,97,98,95,97,98,,option code span including table,"G4‧請問您每週平均有幾天會上網看新聞?【數值題,可輸入小數點,範圍為0.5、1、1.5、2、2.5、3、3.5、4、4.5、5、5.5、6、6.5、7、95、97、98】【G7或G8或G9或G10或G11答(01)-(88)者,需答此題】 *「網路新聞」是指將新聞內容放上網路,不論是文字或影音都算。 (1)文字:包括新聞網站(例:東森新聞網)、手機app(例如:整合網路新聞app、臉書及LINE上的新聞)。 (2)影音:包括上傳在YouTube上非直播的電視新聞。 訪員注意: 1.本題為數值題,若為區間請取「中間值」,例如:3~4天,請填入「3.5」天。 2.答案無法填答時(例如:一個月只看"
vB1,B1,mismatch,existing r1-r4 differ from proposal,"0,5",95,97,98,95,97,98,,option code span including table,"B1‧請問您每星期的星期一到星期五,平均有幾天會看電視?用網路方式「同步收看」電視頻道的節目也算。【數值題,可輸入小數點,範圍為0、0.5、1、1.5、2、2.5、3、3.5、4、4.5、5、95、97、98】 *「看電視」必須真的在看或在聽才算有看。如果只是開著沒在注意,不算有看。 *「同步收看」是指收看的節目無法讓您暫停、快轉、倒退,也無法自己任意選擇想看的片段。 訪員注意: 1.本題為數值題,若為區間請取「中間值」,例如:3~4天,請填入「3.5」天。 2.如果受訪者星期一到星期五都沒有看電視,請填「0」;如果平均看不到0.5天,請填入「95」。 ________天 □ (95)平均不到"
vB3,B3,mismatch,existing r1-r4 differ from proposal,"0,2",95,97,98,95,97,98,,option code span including table,"B3‧請問星期六和星期日兩天,您大概有幾天會看電視?用網路方式「同步收看」電視頻道的節目也算。【數值題,可輸入小數點,範圍為0、0.5、1、1.5、2、95、97、98】 訪員注意: 1.本題為數值題,若為區間請取「中間值」,例如:1~2天,請填入「1.5」天。 2.如果受訪者星期六和星期日都沒有看電視,請填「0」;如果平均看不到0.5天,請填入「95」。 ________天 □ (95)平均不到0.5天 □ (97)不知道 □ (98)拒答"
vB5,B5,mismatch,existing r1-r4 differ from proposal,"0,7",95,97,98,95,97,98,,option code span including table,"B5‧您在前面題目回答:週一至週五平均看【貼題B1】天電視,週六至週日平均看【貼題B3】天 電視,每週七天中,您平均有幾天會看電視新聞(包含在網路上同步看電視新聞直播)?【數值 題,可輸入小數點,範圍為0、0.5、1、1.5、2、2.5、3、3.5、4、4.5、5、5.5、6、6.5、7、 95、97、98】【B1及B3皆答0者,不需答此題】 訪員注意: 1.本題為數值題,若為區間請取「中間值」,例如:3~4天,請填入「3.5」天。 2.如果平均看不到0.5天,請填入「95」。 ________天 □ (95)平均不到0.5天 □ (97)不知道 □ (98)拒答"
vB7,B7,range_match_special_diff,r1 matches; r2-r4 differ,"1,88",97,98,,"1,88",95,97,98,option code span including table,"B7‧那請問您最常看其中的哪一台電視新聞?(卡20)【B7a回答(01)-(88)超過2個選項時顯示,並只能選B7a選填的答案】【B7a只選1個選項,不需回答此題】 訪員注意: 1.若會看不同台的電視新聞,請用受訪者一天「看最久」的那台來回答。 2.訪員請務必追問出一台,若受訪者回答兩台以上,則追問在最忙時會第一優先看哪一台,或對哪一台最有興趣。 □ (01)TVBS新聞台(55台,24小時新聞台) □ (02)TVBS(56台) □ (03)三立新聞台(24小時新聞台) □ (04)三立台灣台 □ (05)三立財經台 (iNEWS) □ (06)八大第一台 □ (07)中視新聞台(24小時新"
vI1,I1,mismatch,existing r1-r4 differ from proposal,"0,5",95,97,98,95,97,98,,option code span including table,"I1‧接下來將詢問您有關「看戲劇」的題目。請問您每星期的星期一到星期五,平均有幾天會看戲劇節目(包含電影、動漫也算)?【數值題,可輸入小數點,範圍為0、0.5、1、1.5、2、2.5、3、3.5、4、4.5、5、95、97、98】 * 「戲劇」是指有故事劇情的節目,例如:電影、動漫、鄉土劇、偶像劇、韓劇、影集、歌仔戲、卡通等。 * 不論在電視、MOD、網路影音平台(例如:愛奇藝、Netflix等),或是從網路上下載來看的都算。 * 若沒有固定看戲劇,例如:看到喜歡、有興趣的戲劇才看或追,現在沒看到喜歡的就沒看,請回答最近一週看戲劇的天數。 訪員注意: 1.本題為數值題,若為區間請取「中間值」,"
vI3,I3,mismatch,existing r1-r4 differ from proposal,"0,2",95,97,98,95,97,98,,option code span including table,"I3‧請問星期六和星期日兩天,您大概有幾天會看戲劇節目(包含電影也算)?【數值題,可輸入小數點,範圍為0、0.5、1、1.5、2、95、97、98】 訪員注意: 1.本題為數值題,若為區間請取「中間值」,例如:1~2天,請填入「1.5」天。 2.如果受訪者平均看不到0.5天,請填入「95」;如受訪者星期六和星期日都沒有看戲劇節目,請填入「0」。 ________天 □ (95)平均不到0.5天 □ (97)不知道 □ (98)拒答"
vCKI4,I4,mismatch,existing r1-r4 differ from proposal,"1,6",,,,"1,2359",9797,9898,,explicit numeric range,"I4‧星期六和星期日有看戲劇節目的那一天,您一整天大概會看多久?【數值題,範圍:0001-2359、9797、9898】【I3答0者,不需回答此題】 * 若星期六看5小時,星期日看3小時,頻率一樣(都是一天)則以平均計算,不是算觀看時間最久那天的時間,請填入「0400」。 訪員注意: 1.本題為數值題,請填入4位數,例如2小時30分,請填入「0230」。 2.若為區間請取「中間值」,例如:2~3小時,請填入「0230」。 3.若2個小時多一點,請填入「0215」;2小時多接近3小時,請填入「0245」。 ____________(時分4碼) □ (9797)不知道 □ (9898)拒答 "
vG1,G1,mismatch,existing r1-r4 differ from proposal,"0,7",95,97,98,95,97,98,,option code span including table,"G1‧請問您每週平均有幾天會看紙本報紙?【數值題,可輸入小數點,範圍為0、0.5、1、1.5、2、2.5、3、3.5、4、4.5、5、5.5、6、6.5、7、95、97、98】【A09答(01)者,不需回答此題】 * 「紙本報紙」是指定期出刊(通常是每天或每週)的紙本印刷讀物,一般會有針對國內、國際、地方新聞的報導,也有體育、娛樂等其他主題的版別。 訪員注意: 1.本題為數值題,若為區間請取「中間值」,例如:3~4天,請填入「3.5」天。 2.如果受訪者答案無法填答時(例如:一個月只看1天)或每週平均看不到0.5天,請填入「95」;如受訪者沒有看紙本報紙,請填入「0」。 ________天 □"
vF0,F0,range_match_special_diff,r1 matches; r2-r4 differ,"1,89",97,98,90,"1,89",90,97,98,option code span including table,"F0‧請問您每個月是否會看紙本雜誌或網路雜誌?【A09答(01)者,不需回答此題】 *「紙本雜誌」是指有固定刊名、定期出版、裝訂成書的印刷讀物,例如:天下雜誌、康健雜誌、空中英語教室、ELLE她雜誌。 *「網路雜誌」是紙本雜誌的電子版本,可以在網站或APP上閱讀。 □ (01)紙本雜誌 □ (02)網路雜誌【E1答(02)、(97)、(98)者,選項互斥】 □ (89)都有看【E1答(02)、(97)、(98)者,選項互斥】 □ (90)都沒有 □ (97)不知道 □ (98)拒答"
vF1,F1,mismatch,existing r1-r4 differ from proposal,"0.5,31",95,97,98,95,97,98,,option code span including table,"F1‧請問您每個月平均有幾天會看紙本雜誌(網路雜誌不算)?【數值題,可輸入小數點,範圍為0.5、1、1.5、...、30、30.5、31、95、97、98】【F0答(01)或(89)者,需答此題】 *「紙本雜誌」是指有固定刊名、定期出版、裝訂成書的印刷讀物,例如:天下雜誌、康健雜誌、空中英語教室、ELLE她雜誌。 *「網路雜誌」是紙本雜誌的電子版本,可以在網站或APP上閱讀。 訪員注意: 1.本題為數值題,若為區間請取「中間值」,例如:3~4天,請填入「3.5」天。 2.如果受訪者答案無法填答時(例如:一年只看1~3天)或每個月平均看不到0.5天,請填入「95」。 ________天 □ (9"
vF3,F3,mismatch,existing r1-r4 differ from proposal,"0.5,31",95,97,98,95,97,98,,option code span including table,"F3‧請問您每個月平均有幾天會在網路上看雜誌?【數值題,可輸入小數點,範圍為0.5、1、1.5、...、30、30.5、31、95、97、98】【F0答(02)或(89)者,需答此題】 訪員注意: 1.本題為數值題,若為區間請取「中間值」,例如:3~4天,請填入「3.5」天。 2.如果受訪者答案無法填答時(例如:一年只看1~3天)或每個月平均看不到0.5天,請填入「95」。 ________天 □ (95)每個月平均看不到0.5天 □ (97)不知道 □ (98)拒答"
vC1,C1,mismatch,existing r1-r4 differ from proposal,"0,7",95,97,98,95,97,98,,option code span including table,"C1‧請問您每週平均有幾天會聽廣播?【數值題,可輸入小數點,範圍為0、0.5、1、1.5、2、2.5、3、3.5、4、4.5、5、5.5、6、6.5、7、95、97、98】 *「聽廣播」不管專心聽或一邊做事一邊聽都算(例如:通勤、開車、工作、做家事)。 * 不論是用收音機聽、或用網站、手機APP等「同步收聽」都算。「同步收聽」是指收聽的節目無法 讓您暫停、快轉、倒退,也無法自己任意選擇想聽的片段。 * 這裡的廣播不包含Podcast(播客)。 訪員注意: 1.本題為數值題,若為區間請取「中間值」,例如:3~4天,請填入「3.5」天。 2.如果受訪者答案無法填答時(例如:一個月只聽1天)或每週平"
vH1,H1,mismatch,existing r1-r4 differ from proposal,"0,990",991,997,998,991,997,998,,option code span including table,"H1‧接下來,想要請教您有關「平常與人接觸程度」的題目。 請問您平常一天會固定「面對面」接觸且認識的人有幾位? 包括互相點頭、打招呼、講話,對方與您認識才算,認識指的是彼此叫得出名字 【數值題,範圍為0-990、991、997、998】 訪員注意: 1.「平常」指的是週一至週五間「固定」會接觸到的人(例如家人、朋友、同事),若在服務業、運輸業、零售業等,每天會遇到不同客人,若沒有固定接觸到的就不算。 2.本題請填寫整數,若超過990人請鍵入「991」;如受訪者沒有固定「面對面」接觸且認識的人,請填入「0」。 ________人 □ (991)超過990人 □ (997)不知道 □ (998)拒"
vH2,H2,range_match_special_diff,r1 matches; r2-r4 differ,"1,5",997,998,97,"1,5",97,98,997,option code span including table,"H2‧那比較接近下面哪個答案?【H1答(997)或(998)者,需回答此題】 □ (01) 0人 □ (02) 1到2人 □ (03) 3到5人 □ (04) 6到10人 □ (05) 11人以上□ (97)不知道 □ (98)拒答"
