status,row_source,qid,condition_text,condition,required_vars,forbidden_vars,limit,reason,raw_text
review,paragraph:762,E1,"K1或K2或K3答(01)-(88)者,只能選填此選項",(vK1m01 in 1 | vK1m02 in 1 | vK1m03 in 1 | vK1m04 in 1 | vK1m05 in 1 | vK1m06 in 1 | vK1m07 in 1 | vK1m08 in 1 | vK1m09 in 1 | vK1m10 in 1 | vK1m11 in 1 | vK1m12 in 1 | vK1m13 in 1 | vK1m88 in 1 | vK2m01 in 1 | vK2m02 in 1 | vK2m03 in 1 | vK2m04 in 1 | vK2m05 in 1 | vK2m06 in 1 | vK2m07 in 1 | vK2m08 in 1 | vK2m09 in 1 | vK2m11 in 1 | vK2m12 in 1 | vK2m13 in 1 | vK2m88 in 1 | vK3m01 in 1 | vK3m02 in 1 | vK3m03 in 1 | vK3m04 in 1 | vK3m05 in 1 | vK3m06 in 1 | vK3m07 in 1 | vK3m08 in 1 | vK3m09 in 1 | vK3m88 in 1),,,,not an answer-required/not-required cue,"□ (01)有【K1或K2或K3答(01)-(88)者,只能選填此選項】"
apply,paragraph:768,E2,"E1答(01)者,需答此題",vE1 in 1,"vE2m01,vE2m02,vE2m03,vE2m04,vE2m88",,,,"E2‧請問您平常是用哪些設備上網?(可多選)(卡18)【E1答(01)者,需答此題】【資料處理:E17或E18答(01)者,E2選項(01)必選;E17或E18答(02)者,E2選項(02)必選;E17或E18答(03)者,E2選項(03)必選;E18答(04)者,E2選項(04)必選】"
review,paragraph:768,E2,"資料處理:E17或E18答(01)者,E2選項(01)必選;E17或E18答(02)者,E2選項(02)必選;E17或E18答(03)者,E2選項(03)必選;E18答(04)者,E2選項(04)必選",(vE17 in 1 | vE18 in 1),,,,restriction/check/display cue needs rule-specific handling,"E2‧請問您平常是用哪些設備上網?(可多選)(卡18)【E1答(01)者,需答此題】【資料處理:E17或E18答(01)者,E2選項(01)必選;E17或E18答(02)者,E2選項(02)必選;E17或E18答(03)者,E2選項(03)必選;E18答(04)者,E2選項(04)必選】"
review,paragraph:773,E2,與D1答(03)互斥,vD1 in 3,,,,restriction/check/display cue needs rule-specific handling,□ (01)手機【與D1答(03)互斥】
review,paragraph:776,E2,開放填答,,,,,restriction/check/display cue needs rule-specific handling,"□ (04)智慧型電視/連網電視 □ (88)其他,請說明:_________【開放填答】"
review,paragraph:780,E4,貼D2答案,,,,,cannot map condition atom: 貼D2答案,"E4‧您先前回答「每週平均有【貼D2答案】天會使用手機」,請問【貼D2答案】天中,平均有幾天會透過手機上網,例如:用LINE、滑臉書(Facebook)、看YouTube,只算有用手機上網的天數?【數值題,可輸入小數點,範圍為0.5、1、1.5、2、2.5、3、3.5、4、4.5、5、5.5、6、6.5、7、95、97、98】【E2有答(01)或E17答(01)或E18答(01),才需回答此題】"
review,paragraph:780,E4,貼D2答案,,,,,cannot map condition atom: 貼D2答案,"E4‧您先前回答「每週平均有【貼D2答案】天會使用手機」,請問【貼D2答案】天中,平均有幾天會透過手機上網,例如:用LINE、滑臉書(Facebook)、看YouTube,只算有用手機上網的天數?【數值題,可輸入小數點,範圍為0.5、1、1.5、2、2.5、3、3.5、4、4.5、5、5.5、6、6.5、7、95、97、98】【E2有答(01)或E17答(01)或E18答(01),才需回答此題】"
apply,paragraph:780,E4,"E2有答(01)或E17答(01)或E18答(01),才需回答此題",(vE2m01 in 1 | vE17 in 1 | vE18 in 1),vE4,,,,"E4‧您先前回答「每週平均有【貼D2答案】天會使用手機」,請問【貼D2答案】天中,平均有幾天會透過手機上網,例如:用LINE、滑臉書(Facebook)、看YouTube,只算有用手機上網的天數?【數值題,可輸入小數點,範圍為0.5、1、1.5、2、2.5、3、3.5、4、4.5、5、5.5、6、6.5、7、95、97、98】【E2有答(01)或E17答(01)或E18答(01),才需回答此題】"
review,paragraph:784,CKE4,"E4>D2時(D2<=7,E4<=7,E4>D2;D2=95,1<=E4<=7,顯示此題",,,,,restriction/check/display cue needs rule-specific handling,"CKE4‧【檢查題】【請注意】【E4>D2時(D2<=7,E4<=7,E4>D2;D2=95,1<=E4<=7,顯示此題】"
review,paragraph:785,CKE4,貼E4答案,,,,,cannot map condition atom: 貼E4答案,"您之前答每週透過手機上網(E4)【貼E4答案】天,超過使用手機的總天數(D2)【貼D2答案】天。"
review,paragraph:785,CKE4,貼D2答案,,,,,cannot map condition atom: 貼D2答案,"您之前答每週透過手機上網(E4)【貼E4答案】天,超過使用手機的總天數(D2)【貼D2答案】天。"
review,paragraph:791,E5,貼D3答案,,,,,cannot map condition atom: 貼D3答案,"E5‧您先前回答「有使用手機的那一天,大約使用【貼D3答案】」,我們想請教您:【數值題,範圍:0000-2359、9797、9898】【E2有答(01)或E17答(01)或E18答(01),需回答此題】【O1_1答(01)~(04)、(88),或O1答(01)~(05)、(12)、(13)、(14)、(88)者,需回答此題】"
apply,paragraph:791,E5,"E2有答(01)或E17答(01)或E18答(01),需回答此題",(vE2m01 in 1 | vE17 in 1 | vE18 in 1),vE5,,,,"E5‧您先前回答「有使用手機的那一天,大約使用【貼D3答案】」,我們想請教您:【數值題,範圍:0000-2359、9797、9898】【E2有答(01)或E17答(01)或E18答(01),需回答此題】【O1_1答(01)~(04)、(88),或O1答(01)~(05)、(12)、(13)、(14)、(88)者,需回答此題】"
apply,paragraph:791,E5,"O1_1答(01)~(04)、(88),或O1答(01)~(05)、(12)、(13)、(14)、(88)者,需回答此題","(vO1_1 in 1,2,3,4,88 | vO1 in 1,2,3,4,5,12,13,14,88)",vE5,,,,"E5‧您先前回答「有使用手機的那一天,大約使用【貼D3答案】」,我們想請教您:【數值題,範圍:0000-2359、9797、9898】【E2有答(01)或E17答(01)或E18答(01),需回答此題】【O1_1答(01)~(04)、(88),或O1答(01)~(05)、(12)、(13)、(14)、(88)者,需回答此題】"
review,paragraph:792,E5,貼O1_1答案,,,,,cannot map condition atom: 貼O1_1答案,受訪者的學習狀況:【貼O1_1答案】
review,paragraph:793,E5,貼O1答案,,,,,cannot map condition atom: 貼O1答案,受訪者的工作狀況:【貼O1答案】
review,paragraph:806,E6,貼D3答案,,,,,cannot map condition atom: 貼D3答案,"E6‧您先前回答「有使用手機的那一天,大約使用【貼D3答案】」,我們想請教您:【數值題,範圍:0000-2359、9797、9898】【E2有答(01)或E17答(01)或E18答(01),才需答此題】"
apply,paragraph:806,E6,"E2有答(01)或E17答(01)或E18答(01),才需答此題",(vE2m01 in 1 | vE17 in 1 | vE18 in 1),vE6,,,,"E6‧您先前回答「有使用手機的那一天,大約使用【貼D3答案】」,我們想請教您:【數值題,範圍:0000-2359、9797、9898】【E2有答(01)或E17答(01)或E18答(01),才需答此題】"
review,paragraph:810,E6,貼O1_1答案,,,,,cannot map condition atom: 貼O1_1答案,受訪者的學習狀況:【貼O1_1答案】
review,paragraph:811,E6,貼O1答案,,,,,cannot map condition atom: 貼O1答案,受訪者的工作狀況:【貼O1答案】
review,paragraph:823,CKE5,"E2有答(01)或E17答(01)或E18答(01),且O1_1答(01)~(04)、(88),或O1答(01)~(05)、(12)、(13)、(14)、(88),且E5+E6=0者",,,,,cannot parse condition atom: E5+E6=0,"CKE5 檢查題(顯示題)
【請注意】【E2有答(01)或E17答(01)或E18答(01),且O1_1答(01)~(04)、(88),或O1答(01)~(05)、(12)、(13)、(14)、(88),且E5+E6=0者】【E2有答(01)或E17答(01)或E18答(01),且O1_1答(05)、(97)、(98),或O1答(06)~(11),且E6=0者】"
review,paragraph:823,CKE5,"E2有答(01)或E17答(01)或E18答(01),且O1_1答(05)、(97)、(98),或O1答(06)~(11),且E6=0者",,,,,cannot parse condition atom: E6=0,"CKE5 檢查題(顯示題)
【請注意】【E2有答(01)或E17答(01)或E18答(01),且O1_1答(01)~(04)、(88),或O1答(01)~(05)、(12)、(13)、(14)、(88),且E5+E6=0者】【E2有答(01)或E17答(01)或E18答(01),且O1_1答(05)、(97)、(98),或O1答(06)~(11),且E6=0者】"
apply,paragraph:829,E7,"E2有答(02)或E17答(02)或E18答(02)者,才需回答此題",(vE2m02 in 1 | vE17 in 2 | vE18 in 2),vE7,,,,"E7‧請問您每週平均有幾天會透過平板上網?【數值題,可輸入小數點,範圍為0.5、1、1.5、2、2.5、3、3.5、4、4.5、5、5.5、6、6.5、7、95、97、98】【E2有答(02)或E17答(02)或E18答(02)者,才需回答此題】"
apply,paragraph:834,E8,"E2有答(02)或E17答(02)或E18答(02),需回答此題",(vE2m02 in 1 | vE17 in 2 | vE18 in 2),vE8,,,,"E8‧在您有上網的那一天:【數值題,範圍:0000-2359、9797、9898】【E2有答(02)或E17答(02)或E18答(02),需回答此題】【O1_1答(01)~(04)、(88),或O1答(01)~(05)、(12)、(13)、(14)、(88)者,需回答此題】"
apply,paragraph:834,E8,"O1_1答(01)~(04)、(88),或O1答(01)~(05)、(12)、(13)、(14)、(88)者,需回答此題","(vO1_1 in 1,2,3,4,88 | vO1 in 1,2,3,4,5,12,13,14,88)",vE8,,,,"E8‧在您有上網的那一天:【數值題,範圍:0000-2359、9797、9898】【E2有答(02)或E17答(02)或E18答(02),需回答此題】【O1_1答(01)~(04)、(88),或O1答(01)~(05)、(12)、(13)、(14)、(88)者,需回答此題】"
review,paragraph:835,E8,貼O1_1答案,,,,,cannot map condition atom: 貼O1_1答案,受訪者的學習狀況:【貼O1_1答案】
review,paragraph:836,E8,貼O1答案,,,,,cannot map condition atom: 貼O1答案,受訪者的工作狀況:【貼O1答案】
apply,paragraph:850,E9,"E2有答(02)或E17答(02)或E18答(02),才需答此題",(vE2m02 in 1 | vE17 in 2 | vE18 in 2),vE9,,,,"E9‧在您有上網的那一天:【數值題,範圍:0000-2359、9797、9898】【E2有答(02)或E17答(02)或E18答(02),才需答此題】"
review,paragraph:851,E9,貼O1_1答案,,,,,cannot map condition atom: 貼O1_1答案,受訪者的學習狀況:【貼O1_1答案】
review,paragraph:852,E9,貼O1答案,,,,,cannot map condition atom: 貼O1答案,受訪者的工作狀況:【貼O1答案】
review,paragraph:866,CKE8,"E2有答(02)或E17答(02)或E18答(02),且O1_1答(01)~(04)、(88),或O1答(01)~(05)、(12)、(13)、(14)、(88),且E8+E9=0者;或2. E2有答(02)或E17答(02)或E18答(02),且O1_1答(05)、(97)、(98),或O1答(06)~(11),且E9=0者",,,,,cannot parse condition atom: E8+E9=0,"CKE8 檢查題(顯示題)
【請注意】【E2有答(02)或E17答(02)或E18答(02),且O1_1答(01)~(04)、(88),或O1答(01)~(05)、(12)、(13)、(14)、(88),且E8+E9=0者;或2. E2有答(02)或E17答(02)或E18答(02),且O1_1答(05)、(97)、(98),或O1答(06)~(11),且E9=0者】"
apply,paragraph:872,E10,"E2有答(03)或E17答(03)或E18答(03),才需回答此題",(vE2m03 in 1 | vE17 in 3 | vE18 in 3),vE10,,,,"E10‧請問您每週平均有幾天會透過電腦上網?【數值題,可輸入小數點,範圍為0.5、1、1.5、2、2.5、3、3.5、4、4.5、5、5.5、6、6.5、7、95、97、98】【E2有答(03)或E17答(03)或E18答(03),才需回答此題】"
apply,paragraph:885,E11,"E2有答(03)或E17答(03)或E18答(03),需回答此題",(vE2m03 in 1 | vE17 in 3 | vE18 in 3),vE11,,,,"E11‧在您有上網的那一天:【數值題,範圍:0000-2359、9797、9898】【E2有答(03)或E17答(03)或E18答(03),需回答此題】【O1_1答(01)~(04)、(88),或O1答(01)~(05)、(12)、(13)、(14)、(88)者,需回答此題】"
apply,paragraph:885,E11,"O1_1答(01)~(04)、(88),或O1答(01)~(05)、(12)、(13)、(14)、(88)者,需回答此題","(vO1_1 in 1,2,3,4,88 | vO1 in 1,2,3,4,5,12,13,14,88)",vE11,,,,"E11‧在您有上網的那一天:【數值題,範圍:0000-2359、9797、9898】【E2有答(03)或E17答(03)或E18答(03),需回答此題】【O1_1答(01)~(04)、(88),或O1答(01)~(05)、(12)、(13)、(14)、(88)者,需回答此題】"
review,paragraph:886,E11,貼O1_1答案,,,,,cannot map condition atom: 貼O1_1答案,受訪者的學習狀況:【貼O1_1答案】
review,paragraph:887,E11,貼O1答案,,,,,cannot map condition atom: 貼O1答案,受訪者的工作狀況:【貼O1答案】
apply,paragraph:902,E12,"E2有答(03)或E17答(03)或E18答(03)者,才需回答此題",(vE2m03 in 1 | vE17 in 3 | vE18 in 3),vE12,,,,"E12‧在您有上網的那一天:【數值題,範圍:0000-2359、9797、9898】【E2有答(03)或E17答(03)或E18答(03)者,才需回答此題】"
review,paragraph:903,E12,貼O1_1答案,,,,,cannot map condition atom: 貼O1_1答案,受訪者的學習狀況:【貼O1_1答案】
review,paragraph:904,E12,貼O1答案,,,,,cannot map condition atom: 貼O1答案,受訪者的工作狀況:【貼O1答案】
review,paragraph:917,CKE11,"E2有答(03)或E17答(03)或E18答(03),且O1_1答(01)~(04)、(88),或O1答(01)~(05)、(12)、(13)、(14)、(88),且E11+E12=0者;或2. E2有答(03)或E17答(03)或E18答(03),且O1_1答(05)、(97)、(98),或O1答(06)~(11),且E12=0者",,,,,cannot parse condition atom: E11+E12=0,"CKE11 檢查題(顯示題)
【請注意】【E2有答(03)或E17答(03)或E18答(03),且O1_1答(01)~(04)、(88),或O1答(01)~(05)、(12)、(13)、(14)、(88),且E11+E12=0者;或2. E2有答(03)或E17答(03)或E18答(03),且O1_1答(05)、(97)、(98),或O1答(06)~(11),且E12=0者】"
review,paragraph:923,E3_1,貼E2答案,,,,,cannot map condition atom: 貼E2答案,"E3_1‧檢查題(開放題)您剛回答使用【貼E2答案】因「工作與課業」或「不是工作或課業所需」的上網總時間超過24小時,想請問您原因為何?【E5、E6、E8、E9、E11、E12加總超過2400者(不含任一題答9797、9898),才需回答此題】"
review,paragraph:923,E3_1,"E5、E6、E8、E9、E11、E12加總超過2400者(不含任一題答9797、9898),才需回答此題",,,,,restriction/check/display cue needs rule-specific handling,"E3_1‧檢查題(開放題)您剛回答使用【貼E2答案】因「工作與課業」或「不是工作或課業所需」的上網總時間超過24小時,想請問您原因為何?【E5、E6、E8、E9、E11、E12加總超過2400者(不含任一題答9797、9898),才需回答此題】"
review,paragraph:925,E3_1,貼E5答案,,,,,cannot map condition atom: 貼E5答案,因「工作與課業」使用手機上網:【貼E5答案】、「不是工作或課業」使用手機上網:【貼E6答案】
review,paragraph:925,E3_1,貼E6答案,,,,,cannot map condition atom: 貼E6答案,因「工作與課業」使用手機上網:【貼E5答案】、「不是工作或課業」使用手機上網:【貼E6答案】
review,paragraph:926,E3_1,貼E8答案,,,,,cannot map condition atom: 貼E8答案,因「工作與課業」使用平板上網:【貼E8答案】、「不是工作或課業」使用平板上網:【貼E9答案】
