row,var,qid,status,reason,existing_r1,existing_r2,existing_r3,existing_r4,proposed_r1,proposed_r2,proposed_r3,proposed_r4,source,question_excerpt
12,vA6,A6,match,,"1,88",97,98,,"1,88",97,98,,option code span,"A6‧請問您父親是台灣閩南人、台灣客家人、大陸各省市、台灣原住民還是其他人?(卡1) 訪員注意:籍貫以父親的爸爸為主。例如:若父親的爸爸是台灣閩南人、媽媽是台灣客家人,應勾選「(01)台灣閩南(河洛)人」。 □ (01)台灣閩南(河洛)人 □ (02)台灣客家人 □ (03)大陸各省市(戰後來台的人或其後代) □ (04)台灣原住民 □ (05)台灣新住民(經過跨國通婚而移民來台的非大陸籍新住民) □ (06)大陸籍配偶(開放兩岸探親後在台灣生活的配偶) □ (88)其他,請說明______【開放欄位】 □ (97)不知道 □ (98)拒答"
13,vA7,A7,match,,"1,88",97,98,,"1,88",97,98,,option code span,"A7‧請問您母親是台灣閩南人、台灣客家人、大陸各省市、台灣原住民還是其他人?(卡1) 訪員注意:籍貫以母親的爸爸為主。例如:若母親的爸爸是台灣閩南人、媽媽是台灣客家人,應勾選「(01)台灣閩南(河洛)人」。 □ (01)台灣閩南(河洛)人 □ (02)台灣客家人 □ (03)大陸各省市(戰後來台的人或其後代) □ (04)台灣原住民 □ (05)台灣新住民(經過跨國通婚而移民來台的非大陸籍新住民) □ (06)大陸籍配偶(開放兩岸探親後在台灣生活的配偶) □ (88)其他,請說明______【開放欄位】 □ (97)不知道 □ (98)拒答"
14,vA8,A8,match,,"1,88",97,98,,"1,88",97,98,,option code span,"A8‧請問您目前的婚姻狀況是什麼?(卡2) □ (01)單身且從沒結過婚 □ (02)已婚且與配偶同住 □ (03)已婚但沒有與配偶同住(因工作或求學暫時分開兩地居住) □ (04)分居(已婚夫妻因感情不睦而分居兩地) □ (05)同居(結婚前、離婚後或配偶去世後,目前與伴侶同居) □ (06)離婚 □ (07)配偶去世 □ (88)其他(例如配偶失蹤數年),請說明______【開放欄位】 □ (97)不知道 □ (98)拒答"
15,vA9,A9,match,,"1,88",97,98,,"1,88",97,98,,option code span,"A9‧請問您的教育程度是什麼?包含肄業、就學中。 訪員注意:改制前後的校名不同,請以畢業當時的文憑為主。例如:當初是五專畢業,但現在改制為大學,請勾選「(05)專科」。 □ (01)不識字 □ (02)自修/小學 □ (03)國(初)中/初職 □ (04)高中職(普通科/職業科/士官學校) □ (05)專科(五專/二專/三專/軍警校專修班/軍警校專科班/空中行專/空中商專) □ (06)大學(空大/軍警官校/軍警官大學/技術學院/科技大學/大學) □ (07)碩士 □ (08)博士 □ (88)其他,請說明______【開放欄位】 □ (97)不知道 □ (98)拒答 O、工作狀況篇"
16,vO1_1,O1_1,match,,"1,88",97,98,,"1,88",97,98,,option code span,"O1_1‧請問您現在是不是學生?(卡3-1) 訪員注意:學生身分指的是在讀/在學於具有「正式學籍」、「學位」的教學單位,不包含社區大學、長青學苑、松年大學。 □ (01) 是,日間部【A9答(01)者,選項互斥】 □ (02) 是,夜間部/進修部 【A9答(01)者,選項互斥】 □ (03) 是,在職專班【A9答(01)者,選項互斥】 □ (04) 是,空中大學【A9答(01)者,選項互斥】 □ (05) 不在學 □ (88)其他,請說明_______【開放欄位】 □ (97)不知道 □ (98)拒答"
17,vO1,,manual,no automatic proposal,"1,88",97,98,,,,,,no numeric range found,
18,vO2,,manual,no automatic proposal,"1,88",97,98,,,,,,no numeric range found,
19,vO3,,manual,no automatic proposal,"1,88",97,98,,,,,,no numeric range found,
20,vO4,,manual,no automatic proposal,"0,5000",9991,9997,9998,,,,,no numeric range found,
21,vD1,D1,match,,"1,3",97,98,,"1,3",97,98,,option code span,"D1‧請問您平常有沒有在使用手機?不論是自己的手機或其他人的手機都算。 訪員注意: 1.包含上網(用LINE、看網路影片等)和非上網(傳簡訊、照相、看相簿照片等)行為。 2.這裡有「使用手機」是說眼睛必需看著手機螢幕,但在講電話時看不看螢幕都算。 3.不論傳統型或智慧型手機都算。 □ (01)有,主要使用自己的手機(門號名字是別人的也算) □ (02)有,主要使用父母、朋友等其他人的手機 □ (03)沒有 □ (97)不知道 □ (98)拒答"
22,vD2,D2,match,,"0.5,7",95,97,98,"0.5,7",95,97,98,explicit numeric range,"D2‧請問您每週平均有幾天會使用手機?【數值題,可輸入小數點,範圍為0.5、1、1.5、2、2.5、3、3.5、4、4.5、5、5.5、6、6.5、7、95、97、98】【D1答(01)、(02)者,需回答此題】 訪員注意: 1.本題為數值題,若為區間請取「中間值」,例如:3~4天,請填入「3.5」天。 2.答案無法填答時(例如:一個月只使用1天)或每週平均用不到0.5天,請填入「95」。 ________天 □ (95)平均不到0.5天 □ (97)不知道 □ (98)拒答"
23,vD3,D3,match,,"1,2359",9797,9898,,"1,2359",9797,9898,,explicit numeric range,"D3‧在您有使用手機的那一天,您一整天大概會使用多久?使用手機是指「講電話」或「眼睛有看著手機螢幕」,例如使用LINE、看影片或照片等都算。【數值題,範圍:0001-2359、9797、9898】【D1答(01)、(02)者,需回答此題】 * 包含上網(用LINE、看網路影片等)和非上網(傳簡訊、照相、看相簿照片等)行為的時間總合。 * 請以發生頻率較高(天數較多)來回答一整天使用時間,不是填用最長的時間。例如星期一到星期四 都是3小時,星期五到星期日都是6小時,則頻率較高為星期一到星期四,請填入「0300」。 訪員注意: 1.本題為數值題,請填入4位數,例如2小時30分,請填入「0230」。"
24,vD4sD4,D4,match,,"1,2",,,,"1,2",,,,option code span,"D4-D8.請問下面這些事情多常發生在您身上?(卡6)【D1答(01)、(02)者,需回答此題】 K、新媒體使用行為(即時通訊軟體、社群媒體及影音平台)"
25,vD4sD5,D4,match,,"1,2",,,,"1,2",,,,option code span,"D4-D8.請問下面這些事情多常發生在您身上?(卡6)【D1答(01)、(02)者,需回答此題】 K、新媒體使用行為(即時通訊軟體、社群媒體及影音平台)"
26,vD4sD6,D4,match,,"1,2",,,,"1,2",,,,option code span,"D4-D8.請問下面這些事情多常發生在您身上?(卡6)【D1答(01)、(02)者,需回答此題】 K、新媒體使用行為(即時通訊軟體、社群媒體及影音平台)"
27,vD4sD7,D4,match,,"1,2",,,,"1,2",,,,option code span,"D4-D8.請問下面這些事情多常發生在您身上?(卡6)【D1答(01)、(02)者,需回答此題】 K、新媒體使用行為(即時通訊軟體、社群媒體及影音平台)"
28,vD4sD8,D4,match,,"1,2",,,,"1,2",,,,option code span,"D4-D8.請問下面這些事情多常發生在您身上?(卡6)【D1答(01)、(02)者,需回答此題】 K、新媒體使用行為(即時通訊軟體、社群媒體及影音平台)"
29,vK1m01,K1,match,,"0,1",,,,"0,1",,,,multiple-response binary,"K1‧請問您最近一個月有使用下列哪些網路平台或APP,私下(一對一)與人通話、視訊、或傳訊息?(可多選)(卡7) □ (01) LINE □ (02) FB Messenger(臉書聊天室) □ (03) Instagram(IG) □ (04) 微信WeChat □ (05) WhatsApp □ (06) Google Chat □ (07) Microsoft Teams □ (08) FaceTime □ (09) Telegram □ (10) Discord □ (11) 抖音(TikTok) □ (12) Dcard □ (13) Threads □ (88)其他,請說明____"
30,vK1m02,K1,match,,"0,1",,,,"0,1",,,,multiple-response binary,"K1‧請問您最近一個月有使用下列哪些網路平台或APP,私下(一對一)與人通話、視訊、或傳訊息?(可多選)(卡7) □ (01) LINE □ (02) FB Messenger(臉書聊天室) □ (03) Instagram(IG) □ (04) 微信WeChat □ (05) WhatsApp □ (06) Google Chat □ (07) Microsoft Teams □ (08) FaceTime □ (09) Telegram □ (10) Discord □ (11) 抖音(TikTok) □ (12) Dcard □ (13) Threads □ (88)其他,請說明____"
31,vK1m03,K1,match,,"0,1",,,,"0,1",,,,multiple-response binary,"K1‧請問您最近一個月有使用下列哪些網路平台或APP,私下(一對一)與人通話、視訊、或傳訊息?(可多選)(卡7) □ (01) LINE □ (02) FB Messenger(臉書聊天室) □ (03) Instagram(IG) □ (04) 微信WeChat □ (05) WhatsApp □ (06) Google Chat □ (07) Microsoft Teams □ (08) FaceTime □ (09) Telegram □ (10) Discord □ (11) 抖音(TikTok) □ (12) Dcard □ (13) Threads □ (88)其他,請說明____"
32,vK1m04,K1,match,,"0,1",,,,"0,1",,,,multiple-response binary,"K1‧請問您最近一個月有使用下列哪些網路平台或APP,私下(一對一)與人通話、視訊、或傳訊息?(可多選)(卡7) □ (01) LINE □ (02) FB Messenger(臉書聊天室) □ (03) Instagram(IG) □ (04) 微信WeChat □ (05) WhatsApp □ (06) Google Chat □ (07) Microsoft Teams □ (08) FaceTime □ (09) Telegram □ (10) Discord □ (11) 抖音(TikTok) □ (12) Dcard □ (13) Threads □ (88)其他,請說明____"
33,vK1m05,K1,match,,"0,1",,,,"0,1",,,,multiple-response binary,"K1‧請問您最近一個月有使用下列哪些網路平台或APP,私下(一對一)與人通話、視訊、或傳訊息?(可多選)(卡7) □ (01) LINE □ (02) FB Messenger(臉書聊天室) □ (03) Instagram(IG) □ (04) 微信WeChat □ (05) WhatsApp □ (06) Google Chat □ (07) Microsoft Teams □ (08) FaceTime □ (09) Telegram □ (10) Discord □ (11) 抖音(TikTok) □ (12) Dcard □ (13) Threads □ (88)其他,請說明____"
34,vK1m06,K1,match,,"0,1",,,,"0,1",,,,multiple-response binary,"K1‧請問您最近一個月有使用下列哪些網路平台或APP,私下(一對一)與人通話、視訊、或傳訊息?(可多選)(卡7) □ (01) LINE □ (02) FB Messenger(臉書聊天室) □ (03) Instagram(IG) □ (04) 微信WeChat □ (05) WhatsApp □ (06) Google Chat □ (07) Microsoft Teams □ (08) FaceTime □ (09) Telegram □ (10) Discord □ (11) 抖音(TikTok) □ (12) Dcard □ (13) Threads □ (88)其他,請說明____"
35,vK1m07,K1,match,,"0,1",,,,"0,1",,,,multiple-response binary,"K1‧請問您最近一個月有使用下列哪些網路平台或APP,私下(一對一)與人通話、視訊、或傳訊息?(可多選)(卡7) □ (01) LINE □ (02) FB Messenger(臉書聊天室) □ (03) Instagram(IG) □ (04) 微信WeChat □ (05) WhatsApp □ (06) Google Chat □ (07) Microsoft Teams □ (08) FaceTime □ (09) Telegram □ (10) Discord □ (11) 抖音(TikTok) □ (12) Dcard □ (13) Threads □ (88)其他,請說明____"
36,vK1m08,K1,match,,"0,1",,,,"0,1",,,,multiple-response binary,"K1‧請問您最近一個月有使用下列哪些網路平台或APP,私下(一對一)與人通話、視訊、或傳訊息?(可多選)(卡7) □ (01) LINE □ (02) FB Messenger(臉書聊天室) □ (03) Instagram(IG) □ (04) 微信WeChat □ (05) WhatsApp □ (06) Google Chat □ (07) Microsoft Teams □ (08) FaceTime □ (09) Telegram □ (10) Discord □ (11) 抖音(TikTok) □ (12) Dcard □ (13) Threads □ (88)其他,請說明____"
37,vK1m09,K1,match,,"0,1",,,,"0,1",,,,multiple-response binary,"K1‧請問您最近一個月有使用下列哪些網路平台或APP,私下(一對一)與人通話、視訊、或傳訊息?(可多選)(卡7) □ (01) LINE □ (02) FB Messenger(臉書聊天室) □ (03) Instagram(IG) □ (04) 微信WeChat □ (05) WhatsApp □ (06) Google Chat □ (07) Microsoft Teams □ (08) FaceTime □ (09) Telegram □ (10) Discord □ (11) 抖音(TikTok) □ (12) Dcard □ (13) Threads □ (88)其他,請說明____"
38,vK1m10,K1,match,,"0,1",96,,,"0,1",96,,,multiple-response binary,"K1‧請問您最近一個月有使用下列哪些網路平台或APP,私下(一對一)與人通話、視訊、或傳訊息?(可多選)(卡7) □ (01) LINE □ (02) FB Messenger(臉書聊天室) □ (03) Instagram(IG) □ (04) 微信WeChat □ (05) WhatsApp □ (06) Google Chat □ (07) Microsoft Teams □ (08) FaceTime □ (09) Telegram □ (10) Discord □ (11) 抖音(TikTok) □ (12) Dcard □ (13) Threads □ (88)其他,請說明____"
39,vK1m11,K1,match,,"0,1",96,,,"0,1",96,,,multiple-response binary,"K1‧請問您最近一個月有使用下列哪些網路平台或APP,私下(一對一)與人通話、視訊、或傳訊息?(可多選)(卡7) □ (01) LINE □ (02) FB Messenger(臉書聊天室) □ (03) Instagram(IG) □ (04) 微信WeChat □ (05) WhatsApp □ (06) Google Chat □ (07) Microsoft Teams □ (08) FaceTime □ (09) Telegram □ (10) Discord □ (11) 抖音(TikTok) □ (12) Dcard □ (13) Threads □ (88)其他,請說明____"
40,vK1m12,K1,match,,"0,1",96,,,"0,1",96,,,multiple-response binary,"K1‧請問您最近一個月有使用下列哪些網路平台或APP,私下(一對一)與人通話、視訊、或傳訊息?(可多選)(卡7) □ (01) LINE □ (02) FB Messenger(臉書聊天室) □ (03) Instagram(IG) □ (04) 微信WeChat □ (05) WhatsApp □ (06) Google Chat □ (07) Microsoft Teams □ (08) FaceTime □ (09) Telegram □ (10) Discord □ (11) 抖音(TikTok) □ (12) Dcard □ (13) Threads □ (88)其他,請說明____"
41,vK1m13,K1,match,,"0,1",96,,,"0,1",96,,,multiple-response binary,"K1‧請問您最近一個月有使用下列哪些網路平台或APP,私下(一對一)與人通話、視訊、或傳訊息?(可多選)(卡7) □ (01) LINE □ (02) FB Messenger(臉書聊天室) □ (03) Instagram(IG) □ (04) 微信WeChat □ (05) WhatsApp □ (06) Google Chat □ (07) Microsoft Teams □ (08) FaceTime □ (09) Telegram □ (10) Discord □ (11) 抖音(TikTok) □ (12) Dcard □ (13) Threads □ (88)其他,請說明____"
42,vK1m88,K1,match,,"0,1",96,,,"0,1",96,,,multiple-response binary,"K1‧請問您最近一個月有使用下列哪些網路平台或APP,私下(一對一)與人通話、視訊、或傳訊息?(可多選)(卡7) □ (01) LINE □ (02) FB Messenger(臉書聊天室) □ (03) Instagram(IG) □ (04) 微信WeChat □ (05) WhatsApp □ (06) Google Chat □ (07) Microsoft Teams □ (08) FaceTime □ (09) Telegram □ (10) Discord □ (11) 抖音(TikTok) □ (12) Dcard □ (13) Threads □ (88)其他,請說明____"
43,vK1m90,K1,match,,"0,1",96,,,"0,1",96,,,multiple-response binary,"K1‧請問您最近一個月有使用下列哪些網路平台或APP,私下(一對一)與人通話、視訊、或傳訊息?(可多選)(卡7) □ (01) LINE □ (02) FB Messenger(臉書聊天室) □ (03) Instagram(IG) □ (04) 微信WeChat □ (05) WhatsApp □ (06) Google Chat □ (07) Microsoft Teams □ (08) FaceTime □ (09) Telegram □ (10) Discord □ (11) 抖音(TikTok) □ (12) Dcard □ (13) Threads □ (88)其他,請說明____"
44,vK2m01,K2,match,,"0,1",,,,"0,1",,,,multiple-response binary,"K2‧除了私下(一對一)聯絡,請問您最近一個月有使用下列哪些網路平台或APP,公開(一對多)和人互動,像是看朋友或其他人的動態、自己PO文、按讚、留言?(可多選)(卡8) 訪員注意: 1.若只是在LINE、FB、IG上看到標註抖音(TikTok)的影片,不算有使用,要有用抖音APP或在網頁版上觀看才算有使用。 2.不論是透過手機、平板或電腦使用社群媒體都算。 □ (01)臉書(Facebook) □ (02)Instagram(IG) □ (03) X (原Twitter,推特) □ (04)LinkedIn □ (05)微博 □ (06)噗浪(Plurk) □ (07)抖音(TikTok) "
45,vK2m02,K2,match,,"0,1",,,,"0,1",,,,multiple-response binary,"K2‧除了私下(一對一)聯絡,請問您最近一個月有使用下列哪些網路平台或APP,公開(一對多)和人互動,像是看朋友或其他人的動態、自己PO文、按讚、留言?(可多選)(卡8) 訪員注意: 1.若只是在LINE、FB、IG上看到標註抖音(TikTok)的影片,不算有使用,要有用抖音APP或在網頁版上觀看才算有使用。 2.不論是透過手機、平板或電腦使用社群媒體都算。 □ (01)臉書(Facebook) □ (02)Instagram(IG) □ (03) X (原Twitter,推特) □ (04)LinkedIn □ (05)微博 □ (06)噗浪(Plurk) □ (07)抖音(TikTok) "
46,vK2m03,K2,match,,"0,1",,,,"0,1",,,,multiple-response binary,"K2‧除了私下(一對一)聯絡,請問您最近一個月有使用下列哪些網路平台或APP,公開(一對多)和人互動,像是看朋友或其他人的動態、自己PO文、按讚、留言?(可多選)(卡8) 訪員注意: 1.若只是在LINE、FB、IG上看到標註抖音(TikTok)的影片,不算有使用,要有用抖音APP或在網頁版上觀看才算有使用。 2.不論是透過手機、平板或電腦使用社群媒體都算。 □ (01)臉書(Facebook) □ (02)Instagram(IG) □ (03) X (原Twitter,推特) □ (04)LinkedIn □ (05)微博 □ (06)噗浪(Plurk) □ (07)抖音(TikTok) "
47,vK2m04,K2,match,,"0,1",,,,"0,1",,,,multiple-response binary,"K2‧除了私下(一對一)聯絡,請問您最近一個月有使用下列哪些網路平台或APP,公開(一對多)和人互動,像是看朋友或其他人的動態、自己PO文、按讚、留言?(可多選)(卡8) 訪員注意: 1.若只是在LINE、FB、IG上看到標註抖音(TikTok)的影片,不算有使用,要有用抖音APP或在網頁版上觀看才算有使用。 2.不論是透過手機、平板或電腦使用社群媒體都算。 □ (01)臉書(Facebook) □ (02)Instagram(IG) □ (03) X (原Twitter,推特) □ (04)LinkedIn □ (05)微博 □ (06)噗浪(Plurk) □ (07)抖音(TikTok) "
48,vK2m05,K2,match,,"0,1",,,,"0,1",,,,multiple-response binary,"K2‧除了私下(一對一)聯絡,請問您最近一個月有使用下列哪些網路平台或APP,公開(一對多)和人互動,像是看朋友或其他人的動態、自己PO文、按讚、留言?(可多選)(卡8) 訪員注意: 1.若只是在LINE、FB、IG上看到標註抖音(TikTok)的影片,不算有使用,要有用抖音APP或在網頁版上觀看才算有使用。 2.不論是透過手機、平板或電腦使用社群媒體都算。 □ (01)臉書(Facebook) □ (02)Instagram(IG) □ (03) X (原Twitter,推特) □ (04)LinkedIn □ (05)微博 □ (06)噗浪(Plurk) □ (07)抖音(TikTok) "
49,vK2m06,K2,match,,"0,1",,,,"0,1",,,,multiple-response binary,"K2‧除了私下(一對一)聯絡,請問您最近一個月有使用下列哪些網路平台或APP,公開(一對多)和人互動,像是看朋友或其他人的動態、自己PO文、按讚、留言?(可多選)(卡8) 訪員注意: 1.若只是在LINE、FB、IG上看到標註抖音(TikTok)的影片,不算有使用,要有用抖音APP或在網頁版上觀看才算有使用。 2.不論是透過手機、平板或電腦使用社群媒體都算。 □ (01)臉書(Facebook) □ (02)Instagram(IG) □ (03) X (原Twitter,推特) □ (04)LinkedIn □ (05)微博 □ (06)噗浪(Plurk) □ (07)抖音(TikTok) "
50,vK2m07,K2,match,,"0,1",,,,"0,1",,,,multiple-response binary,"K2‧除了私下(一對一)聯絡,請問您最近一個月有使用下列哪些網路平台或APP,公開(一對多)和人互動,像是看朋友或其他人的動態、自己PO文、按讚、留言?(可多選)(卡8) 訪員注意: 1.若只是在LINE、FB、IG上看到標註抖音(TikTok)的影片,不算有使用,要有用抖音APP或在網頁版上觀看才算有使用。 2.不論是透過手機、平板或電腦使用社群媒體都算。 □ (01)臉書(Facebook) □ (02)Instagram(IG) □ (03) X (原Twitter,推特) □ (04)LinkedIn □ (05)微博 □ (06)噗浪(Plurk) □ (07)抖音(TikTok) "
51,vK2m08,K2,match,,"0,1",,,,"0,1",,,,multiple-response binary,"K2‧除了私下(一對一)聯絡,請問您最近一個月有使用下列哪些網路平台或APP,公開(一對多)和人互動,像是看朋友或其他人的動態、自己PO文、按讚、留言?(可多選)(卡8) 訪員注意: 1.若只是在LINE、FB、IG上看到標註抖音(TikTok)的影片,不算有使用,要有用抖音APP或在網頁版上觀看才算有使用。 2.不論是透過手機、平板或電腦使用社群媒體都算。 □ (01)臉書(Facebook) □ (02)Instagram(IG) □ (03) X (原Twitter,推特) □ (04)LinkedIn □ (05)微博 □ (06)噗浪(Plurk) □ (07)抖音(TikTok) "
52,vK2m09,K2,match,,"0,1",,,,"0,1",,,,multiple-response binary,"K2‧除了私下(一對一)聯絡,請問您最近一個月有使用下列哪些網路平台或APP,公開(一對多)和人互動,像是看朋友或其他人的動態、自己PO文、按讚、留言?(可多選)(卡8) 訪員注意: 1.若只是在LINE、FB、IG上看到標註抖音(TikTok)的影片,不算有使用,要有用抖音APP或在網頁版上觀看才算有使用。 2.不論是透過手機、平板或電腦使用社群媒體都算。 □ (01)臉書(Facebook) □ (02)Instagram(IG) □ (03) X (原Twitter,推特) □ (04)LinkedIn □ (05)微博 □ (06)噗浪(Plurk) □ (07)抖音(TikTok) "
