table_index,row_index,編號,題號,變項名稱,檢核說明,備註,auto_category
1,21,21,Q24,vQ24g1,vQ24看談話性政論節目，每星期看超過35小時，列出確認。,,candidate_logic
1,22,22,Q21,vQ21g1,vQ21看政治人物或政治網紅影片，每星期看超過35小時，列出確認。,,candidate_logic
1,23,23,Q26A,vQ26Ag1,vQ26A聽政治或公共事務播客，每星期聽超過35小時，列出確認。,,candidate_logic
1,24,24,Q28,vQ28,vQ28經常一起討論政治或公共事務的人數超過50人，列出確認。,,candidate_logic
1,25,25,H8,vH8,vH8經常會一起討論「個人」問題或心事的人超過50人，列出確認。,,candidate_logic
1,26,26,I2,vI2,vI2看戲劇節目的平常日（週一到週五），一整天看超過12小時，列出確認。,,candidate_logic
1,27,27,I4,vI4,vI4看戲劇節目的週六或週日，一整天看超過12小時，列出確認。,,candidate_logic
1,28,28,KFB2,vKFB2,vKFB2有使用臉書，一整天用超過16小時，列出確認。,,candidate_logic
1,29,29,KIG2,vKIG2,vKIG2有使用IG，一整天用超過16小時，列出確認。,,candidate_logic
1,30,30,KLI2,vKLI2,vKLI2有使用LINE，一整天用超過16小時，列出確認。,,candidate_logic
1,31,31,KTT2,vKTT2,vKTT2有使用抖音（TikTok），一整天用超過16小時，列出確認。,,candidate_logic
1,32,32,KYT2,vKYT2,vKYT2有使用YouTube，一整天用超過16小時，列出確認。,,candidate_logic
1,33,33,P5_2,vP5_2,vP5_2有使用Threads，一整天用超過16小時，列出確認。,,candidate_logic
1,34,34,M1,vM1g01 | vM1g02,vM1玩電玩遊戲一週超過64小時列出確認。,,candidate_logic
1,35,35,vA1 | O1,vA1 | vO1,出生年超過民國74年次(未滿40歲者)，vO1目前工作不應為(09)已經退休 | (年齡計算以114減出生年)。,,candidate_logic
1,36,36,Z2_1,vZ2_1g1 | vZ2_1g2,1.市話號碼長度為9碼（北北基、台中、南投以外縣市電話），前兩碼應為03、05、06、07、08或前三碼為047、048。 | 2.市話號碼長度為10碼（北北基、台中、南投電話），前兩碼應為02或前三碼為042、043、049。 | 3.市話號碼不可重複。 | 4.分機號碼長度超過4碼，列出確認。 | 5.市話號碼不應該為系統範例電話0227887792或0212345678。,*品管項目,candidate_logic
1,37,37,Z2_2 | ZE2_1,vZ2_2 | vZE2_1,1.手機號碼長度應為10碼且前兩碼應為09。 | 2.手機號碼不可重複。 | 3.手機號碼不應該為0912345678。,*品管項目,candidate_logic
1,38,38,ZE2_3,vZE2_3,1.Email的@為全形。 | 2.Email帳號長度<=2。 | 3.Email網域長度<=4或不在網域清單內。 | 4.Email不可有特殊符號。 | 5.Email不可重複。,*品管項目,review
1,39,39,K1 | KTT4,vK1m11 | vKTT4m13 | vKTT4m14,K1有選(11)抖音，KTT4非選(97)不知道(98)拒答者，沒有選(13)分享或轉貼、轉寄影片，也沒有選(14)傳送訊息或視訊,計畫小組要求列出 | 列出Q11題答案協助檢核參考,review
1,40,40,Q5 | Q6 | Q7 | Q8 | Q9,vQ5 | vQ6 | vQ7 | vQ8 | vQ9,Q5答有透過網路接觸到政治消息，但Q6-Q9皆回答(01)從來沒有,計畫小組要求列出,candidate_logic
1,41,41,Q10 | Q11 | Q12 | Q13 | Q14,vQ10 | vQ11 | vQ12 | vQ13 | vQ14,Q10答有透過網路轉貼或分享政治消息，但Q11-Q14皆回答(01)從來沒有,計畫小組要求列出,candidate_logic
2,1,1,B1 | B3 | B5,vB1 | vB3 | vB5,vB5每週看電視新聞的天數大於每週看電視的天數（vB1和vB3相加）並超過一天。,*品管項目 | 刪除：已新增檢查題,deleted
2,2,2,D1 | Z1_1,vD1 | vZ1_1,vD1選(03)沒有使用手機，vZ1_1使用的手機門號數不為0。,*品管項目 | 刪除：本次調查無此題,deleted
2,3,3,H1 | H4 | H7,vH1 | vH4 | vH7,vH7平常一天「面對面」且「網路上」接觸的人數大於「面對面」的人數（vH1）或「網路上」的人數（vH4）。,*品管項目 | 刪除：已新增檢查題,deleted
2,4,4,H1 | H5 | H7_1,vH1 | vH5 | vH7_1,vH7_1平常一天「面對面」且「網路上」接觸的人數大於「面對面」的人數（vH1）或「網路上」的人數（vH5）。,*品管項目 | 刪除：已新增檢查題,deleted
2,5,5,H2 | H4 | H7_2,vH2 | vH4 | vH7_2,vH7_2平常一天「面對面」且「網路上」接觸的人數大於「面對面」的人數（vH2）或「網路上」的人數（vH4）。,*品管項目 | 刪除：已新增檢查題,deleted
2,6,6,H2 | H5 | H7_3,vH2 | vH5 | vH7_3,vH7_3平常一天「面對面」且「網路上」接觸的人數大於「面對面」的人數（vH2）或「網路上」的人數（vH5）。,*品管項目 | 刪除：已新增檢查題,deleted
2,7,7,M1 | Q35b | Q36b,vM1g01 | vM1g02 | vQ35bm01 | vQ36bm01,vM1玩電玩遊戲一週為0小時0分鐘，不可選vQ35b、vQ36b的選項(01)玩遊戲。,*品管項目 | 刪除：本次調查無此題,deleted
2,8,8,P1_3a,vP1_3am02 | vP1_3am03 | vP1_3am06 | vP1_3am07 | vP1_3am08 | vP1_3am88 | vP1_3am90,P1_3a不可選不應顯示之K1繼承選項(02)、(03)、(06)-(08)、(88)、(90)。,*品管項目 | 刪除：本次調查無此題,deleted
2,9,9,P1_3b,vP1_3bm04 | vP1_3bm05 | vP1_3bm06 | vP1_3bm88 | vP1_3bm90,P1_3b不可選不應顯示之K2繼承選項 (04)-(06)、(88)、(90)。,*品管項目 | 刪除：本次調查無此題,deleted
2,10,10,P1_3c,vP1_3cm04 | vP1_3cm06 | vP1_3cm07 | vP1_3cm09 | vP1_3cm88 | vP1_3cm90,P1_3c不可選不應顯示之K3繼承選項 (04)、(06)、(07)、(09)、(88)、(90)。,*品管項目 | 刪除：本次調查無此題,deleted
2,11,11,Q35a,vQ35am03 vQ35am04 | vQ35am05 | vQ35am06 | vQ35am09 | vQ35am88 | vQ35am90,Q35a不可選不應顯示之K2繼承選項(03)-(06)、(09)、(88)、(90)。,*品管項目 | 刪除：本次調查無此題,deleted
2,12,12,Q36a,vQ36am03 vQ36am04 | vQ36am05 | vQ36am06 | vQ36am09 | vQ36am88 | vQ36am90,Q36a不可選不應顯示之K2繼承選項(03)-(06)、(09)、(88)、(90)。,*品管項目 | 刪除：本次調查無此題,deleted
2,13,13,Z1,vZ1,vZ1家中用來通話的電話線數為(05)5個及以上、(97)不知道、(98)拒答，列出答案確認。,*品管項目 | 刪除：本次調查無此題,deleted
2,14,14,Z1_1,vZ1_1,vZ1_1經常使用的手機門號為(05)5個及以上、(97)不知道、(98)拒答，列出答案確認。,*品管項目 | 刪除：本次調查無此題,deleted
2,15,15,ZE3,vZE3,vZE3姓名長度<=2或>4,刪除：TCS3-3調查時計畫小組接受ZE3題可只填姓氏及稱呼。,deleted
2,16,16,O1 | E5 | E8 | E11,vO1 | vE5sE5 | vE8sE8 | vE11sE11,O1答(06)、(09)、(10)、(11)、(12)、(13)沒有工作，但E5、E8、E11的上網時間卻不為0分鐘，請列出確認。,計畫小組要求列出 | 刪除：已新增檢查題,deleted
2,17,17,O1 | E5 | E8 | E11,vO1 | vE5sE5 | vE8sE8 | vE11sE11,O1答(06)、(09)、(10)、(11)沒有工作，但E5、E8、E11工作或課業所需上網時間不為0分鐘，列出確認。,TCS3-4計畫小組要求列出 | 刪除：已新增跳題,deleted
2,18,18,B8 | I1 | I3,vB8m03 | vI1 | vI3,B8經常看的電視節目選(03)戲劇電影，但平日和假日看戲劇節目天數合計(I1+I3)為0天，列出確認。,TCS3-4計畫小組要求列出 | 刪除：已新增檢查題,deleted
2,19,19,Z2_2 | ZE2,vZE2m01 | vZ2_2,vZE2選(01)願意接受追蹤，但vZ2_2未留下聯絡方式。,刪除：題型已改變,deleted
2,20,20,K1 | K2,vK1m02 | vK2m01,K1選(02)FB Messenger，但K2沒有選(01)臉書(Facebook) （不包含填答97、98），列出確認。,TCS3-3計畫小組要求列出 | 刪除：題型已改變,deleted
2,21,21,K1 | K2,vK1m03 | vK2m02,K1有用(03)IG聊天室，但K2沒有選(02)IG（不包含填答97、98），列出確認。,TCS3-3計畫小組要求列出 | 刪除：題型已改變,deleted
2,22,22,E2 | B1 | B3,vE2m04 | vB1 | vB3,E2答(04)智慧型電視/連網電視，但平日與假日同步收看電視天數合計(B1+B3)為0天，列出確認。,TCS3-3計畫小組要求列出 | 刪除：使用連網電視與看電視無邏輯關係,deleted
2,23,23,B5 | B8,vB5 | vB8m01,B5每週平均至少看0.5~7天電視新聞，但B8經常看的電視節目沒有選(01)新聞類。,TCS3-4計畫小組要求列出 | 刪除：此項於3-4已經決議以事後答案修改方式進行，請計畫小組於問卷上補上，避免日後遺漏。,deleted
2,24,24,E17 | E18 | E2,vE17 | vE18 | vE2m01 | vE2m02 | vE2m03,1.E17有選(01)-(03)，E2未選相同設備選項 | 2.E18有選(01)-(04)，E2未選相同設備選項,*品管項目 | 刪除：直接修改E2答案,deleted
2,25,25,O1 | O5,vO1 | vO5,O1選(01)~(03)、(05)、(12)或(13)，但O5選(01)無收入，列出確認。,計畫小組要求列出 | 刪除：O5為受訪者自填題,deleted
2,26,26,K1 | KFB4,vK1m02 | vKFB4m14,K1有選(02)FB Messenger，KFB4非選(97)不知道(98)拒答者，沒有選(18)傳送訊息或視訊,計畫小組要求列出 | 刪除：直接修改KFB4答案,deleted
2,27,27,K1 | KIG4,vK1m03 | vKIG4m14,K1有選(03)Instagram，KIG4非選(97)不知道(98)拒答者，沒有選(14)傳送訊息或視訊,計畫小組要求列出 | 刪除：直接修改KIG4答案,deleted
