"var","status","reason","source","question_excerpt"
"vN35sN36","manual","no automatic proposal","no numeric range found","N35‧在過去七天內,您大概有幾天曾發生下列情況?(卡38)【N35至N38請用群組題方式排版】 Q、政治共同題 Qa.【前導語】(卡39)接下來,我們想請教您有多常透過媒體獲得政治或公共事務的訊息。這裡的公共事務指的是:跟社會上大多數人、跟社區或跟公共團體相關的新聞或事務。政治或公共事務例如:政府處理公共衛生與防災的做法(如豬瘟)、物價上漲或民生經濟議題(如房價、油價、缺電問題)、社區事務、兩岸關係與國際事件(如烏俄戰爭)等等。"
"vN35sN37","manual","no automatic proposal","no numeric range found","N35‧在過去七天內,您大概有幾天曾發生下列情況?(卡38)【N35至N38請用群組題方式排版】 Q、政治共同題 Qa.【前導語】(卡39)接下來,我們想請教您有多常透過媒體獲得政治或公共事務的訊息。這裡的公共事務指的是:跟社會上大多數人、跟社區或跟公共團體相關的新聞或事務。政治或公共事務例如:政府處理公共衛生與防災的做法(如豬瘟)、物價上漲或民生經濟議題(如房價、油價、缺電問題)、社區事務、兩岸關係與國際事件(如烏俄戰爭)等等。"
"vN35sN38","manual","no automatic proposal","no numeric range found","N35‧在過去七天內,您大概有幾天曾發生下列情況?(卡38)【N35至N38請用群組題方式排版】 Q、政治共同題 Qa.【前導語】(卡39)接下來,我們想請教您有多常透過媒體獲得政治或公共事務的訊息。這裡的公共事務指的是:跟社會上大多數人、跟社區或跟公共團體相關的新聞或事務。政治或公共事務例如:政府處理公共衛生與防災的做法(如豬瘟)、物價上漲或民生經濟議題(如房價、油價、缺電問題)、社區事務、兩岸關係與國際事件(如烏俄戰爭)等等。"
"vQ28","manual","no automatic proposal","no numeric range found","Q28‧接下來想詢問您,有關與其他人討論政治或公共事務的問題。(例如:吃飯時邊看電視和家人討論物價上漲問題、與網友討論兩岸關係或國際議題(如烏俄戰爭)、向里長反映社區事務等等)"
"vQ32sQ32","manual","no automatic proposal","no numeric range found","Q32‧以下想要問您對一些事物的滿意程度。(卡52)"
"vQ32sQ33","manual","no automatic proposal","no numeric range found","Q32‧以下想要問您對一些事物的滿意程度。(卡52)"
"vQ32sQ34","manual","no automatic proposal","no numeric range found","Q32‧以下想要問您對一些事物的滿意程度。(卡52)"
"vQ58s58","manual","no automatic proposal","no numeric range found","Q58‧那請問您同不同意以下的說法?(卡53)"
"vQ58s59","manual","no automatic proposal","no numeric range found","Q58‧那請問您同不同意以下的說法?(卡53)"
"vQ58s60","manual","no automatic proposal","no numeric range found","Q58‧那請問您同不同意以下的說法?(卡53)"
"vQ58s61","manual","no automatic proposal","no numeric range found","Q58‧那請問您同不同意以下的說法?(卡53)"
"vQ49","manual","no automatic proposal","no numeric range found","Q49在目前國內的政黨中,請問您有沒有偏向支持哪一個政黨?"
