row,var,qid,status,reason,existing_r1,existing_r2,existing_r3,existing_r4,proposed_r1,proposed_r2,proposed_r3,proposed_r4,source,question_excerpt
21,vD1,D1,match,,"1,3",97,98,,"1,3",97,98,,option code span including table,"D1‧請問您平常有沒有在使用手機?不論是自己的手機或其他人的手機都算。 訪員注意: 1.包含上網(用LINE、看網路影片等)和非上網(傳簡訊、照相、看相簿照片等)行為。 2.這裡有「使用手機」是說眼睛必需看著手機螢幕,但在講電話時看不看螢幕都算。 3.不論傳統型或智慧型手機都算。 □ (01)有,主要使用自己的手機(門號名字是別人的也算) □ (02)有,主要使用父母、朋友等其他人的手機 □ (03)沒有 □ (97)不知道 □ (98)拒答"
22,vD2,D2,mismatch,existing r1-r4 differ from proposal,"0.5,7",95,97,98,95,97,98,,option code span including table,"D2‧請問您每週平均有幾天會使用手機?【數值題,可輸入小數點,範圍為0.5、1、1.5、2、2.5、3、3.5、4、4.5、5、5.5、6、6.5、7、95、97、98】【D1答(01)、(02)者,需回答此題】 訪員注意: 1.本題為數值題,若為區間請取「中間值」,例如:3~4天,請填入「3.5」天。 2.答案無法填答時(例如:一個月只使用1天)或每週平均用不到0.5天,請填入「95」。 ________天 □ (95)平均不到0.5天 □ (97)不知道 □ (98)拒答"
23,vD3,D3,match,,"1,2359",9797,9898,,"1,2359",9797,9898,,explicit numeric range,"D3‧在您有使用手機的那一天,您一整天大概會使用多久?使用手機是指「講電話」或「眼睛有看著手機螢幕」,例如使用LINE、看影片或照片等都算。【數值題,範圍:0001-2359、9797、9898】【D1答(01)、(02)者,需回答此題】 * 包含上網(用LINE、看網路影片等)和非上網(傳簡訊、照相、看相簿照片等)行為的時間總合。 * 請以發生頻率較高(天數較多)來回答一整天使用時間,不是填用最長的時間。例如星期一到星期四 都是3小時,星期五到星期日都是6小時,則頻率較高為星期一到星期四,請填入「0300」。 訪員注意: 1.本題為數值題,請填入4位數,例如2小時30分,請填入「0230」。"
24,vD4sD4,D4,mismatch,existing r1-r4 differ from proposal,"1,2",,,,"1,4",97,98,,option code span including table,"D4-D8.請問下面這些事情多常發生在您身上?(卡6)【D1答(01)、(02)者,需回答此題】 從來沒有 很少 有時 經常 (97) | 不知道 (98) | 拒答 D4 您多常不知不覺又開始滑手機 1□ 2□ 3□ 4□ □ □ D5 您多常使用完手機後沒多久,又發現自己開始滑手機 1□ 2□ 3□ 4□ □ □ D6 您多常在沒有辦法使用手機時,會很想使用手機 1□ 2□ 3□ 4□ □ □ D7 您多常因為使用手機而耽誤工作、課業或手邊正在做的事情 1□ 2□ 3□ 4□ □ □ D8 您多常覺得自己應該少用手機 1□ 2□ 3□ 4□ □ □"
25,vD4sD5,D5,mismatch,existing r1-r4 differ from proposal,"1,2",,,,"1,4",97,98,,option code span including table,"D4-D8.請問下面這些事情多常發生在您身上?(卡6)【D1答(01)、(02)者,需回答此題】 從來沒有 很少 有時 經常 (97) | 不知道 (98) | 拒答 D4 您多常不知不覺又開始滑手機 1□ 2□ 3□ 4□ □ □ D5 您多常使用完手機後沒多久,又發現自己開始滑手機 1□ 2□ 3□ 4□ □ □ D6 您多常在沒有辦法使用手機時,會很想使用手機 1□ 2□ 3□ 4□ □ □ D7 您多常因為使用手機而耽誤工作、課業或手邊正在做的事情 1□ 2□ 3□ 4□ □ □ D8 您多常覺得自己應該少用手機 1□ 2□ 3□ 4□ □ □"
26,vD4sD6,D6,mismatch,existing r1-r4 differ from proposal,"1,2",,,,"1,4",97,98,,option code span including table,"D4-D8.請問下面這些事情多常發生在您身上?(卡6)【D1答(01)、(02)者,需回答此題】 從來沒有 很少 有時 經常 (97) | 不知道 (98) | 拒答 D4 您多常不知不覺又開始滑手機 1□ 2□ 3□ 4□ □ □ D5 您多常使用完手機後沒多久,又發現自己開始滑手機 1□ 2□ 3□ 4□ □ □ D6 您多常在沒有辦法使用手機時,會很想使用手機 1□ 2□ 3□ 4□ □ □ D7 您多常因為使用手機而耽誤工作、課業或手邊正在做的事情 1□ 2□ 3□ 4□ □ □ D8 您多常覺得自己應該少用手機 1□ 2□ 3□ 4□ □ □"
27,vD4sD7,D7,mismatch,existing r1-r4 differ from proposal,"1,2",,,,"1,4",97,98,,option code span including table,"D4-D8.請問下面這些事情多常發生在您身上?(卡6)【D1答(01)、(02)者,需回答此題】 從來沒有 很少 有時 經常 (97) | 不知道 (98) | 拒答 D4 您多常不知不覺又開始滑手機 1□ 2□ 3□ 4□ □ □ D5 您多常使用完手機後沒多久,又發現自己開始滑手機 1□ 2□ 3□ 4□ □ □ D6 您多常在沒有辦法使用手機時,會很想使用手機 1□ 2□ 3□ 4□ □ □ D7 您多常因為使用手機而耽誤工作、課業或手邊正在做的事情 1□ 2□ 3□ 4□ □ □ D8 您多常覺得自己應該少用手機 1□ 2□ 3□ 4□ □ □"
28,vD4sD8,D8,mismatch,existing r1-r4 differ from proposal,"1,2",,,,"1,4",97,98,,option code span including table,"D4-D8.請問下面這些事情多常發生在您身上?(卡6)【D1答(01)、(02)者,需回答此題】 從來沒有 很少 有時 經常 (97) | 不知道 (98) | 拒答 D4 您多常不知不覺又開始滑手機 1□ 2□ 3□ 4□ □ □ D5 您多常使用完手機後沒多久,又發現自己開始滑手機 1□ 2□ 3□ 4□ □ □ D6 您多常在沒有辦法使用手機時,會很想使用手機 1□ 2□ 3□ 4□ □ □ D7 您多常因為使用手機而耽誤工作、課業或手邊正在做的事情 1□ 2□ 3□ 4□ □ □ D8 您多常覺得自己應該少用手機 1□ 2□ 3□ 4□ □ □"
29,vK1m01,K1,match,,"0,1",,,,"0,1",,,,multiple-response binary,"K1‧請問您最近一個月有使用下列哪些網路平台或APP,私下(一對一)與人通話、視訊、或傳訊息?(可多選)(卡7) □ (01) LINE □ (02) FB Messenger(臉書聊天室) □ (03) Instagram(IG) □ (04) 微信WeChat □ (05) WhatsApp □ (06) Google Chat □ (07) Microsoft Teams □ (08) FaceTime □ (09) Telegram □ (10) Discord □ (11) 抖音(TikTok) □ (12) Dcard □ (13) Threads □ (88)其他,請說明____"
30,vK1m02,K1,match,,"0,1",,,,"0,1",,,,multiple-response binary,"K1‧請問您最近一個月有使用下列哪些網路平台或APP,私下(一對一)與人通話、視訊、或傳訊息?(可多選)(卡7) □ (01) LINE □ (02) FB Messenger(臉書聊天室) □ (03) Instagram(IG) □ (04) 微信WeChat □ (05) WhatsApp □ (06) Google Chat □ (07) Microsoft Teams □ (08) FaceTime □ (09) Telegram □ (10) Discord □ (11) 抖音(TikTok) □ (12) Dcard □ (13) Threads □ (88)其他,請說明____"
31,vK1m03,K1,match,,"0,1",,,,"0,1",,,,multiple-response binary,"K1‧請問您最近一個月有使用下列哪些網路平台或APP,私下(一對一)與人通話、視訊、或傳訊息?(可多選)(卡7) □ (01) LINE □ (02) FB Messenger(臉書聊天室) □ (03) Instagram(IG) □ (04) 微信WeChat □ (05) WhatsApp □ (06) Google Chat □ (07) Microsoft Teams □ (08) FaceTime □ (09) Telegram □ (10) Discord □ (11) 抖音(TikTok) □ (12) Dcard □ (13) Threads □ (88)其他,請說明____"
32,vK1m04,K1,match,,"0,1",,,,"0,1",,,,multiple-response binary,"K1‧請問您最近一個月有使用下列哪些網路平台或APP,私下(一對一)與人通話、視訊、或傳訊息?(可多選)(卡7) □ (01) LINE □ (02) FB Messenger(臉書聊天室) □ (03) Instagram(IG) □ (04) 微信WeChat □ (05) WhatsApp □ (06) Google Chat □ (07) Microsoft Teams □ (08) FaceTime □ (09) Telegram □ (10) Discord □ (11) 抖音(TikTok) □ (12) Dcard □ (13) Threads □ (88)其他,請說明____"
33,vK1m05,K1,match,,"0,1",,,,"0,1",,,,multiple-response binary,"K1‧請問您最近一個月有使用下列哪些網路平台或APP,私下(一對一)與人通話、視訊、或傳訊息?(可多選)(卡7) □ (01) LINE □ (02) FB Messenger(臉書聊天室) □ (03) Instagram(IG) □ (04) 微信WeChat □ (05) WhatsApp □ (06) Google Chat □ (07) Microsoft Teams □ (08) FaceTime □ (09) Telegram □ (10) Discord □ (11) 抖音(TikTok) □ (12) Dcard □ (13) Threads □ (88)其他,請說明____"
34,vK1m06,K1,match,,"0,1",,,,"0,1",,,,multiple-response binary,"K1‧請問您最近一個月有使用下列哪些網路平台或APP,私下(一對一)與人通話、視訊、或傳訊息?(可多選)(卡7) □ (01) LINE □ (02) FB Messenger(臉書聊天室) □ (03) Instagram(IG) □ (04) 微信WeChat □ (05) WhatsApp □ (06) Google Chat □ (07) Microsoft Teams □ (08) FaceTime □ (09) Telegram □ (10) Discord □ (11) 抖音(TikTok) □ (12) Dcard □ (13) Threads □ (88)其他,請說明____"
35,vK1m07,K1,match,,"0,1",,,,"0,1",,,,multiple-response binary,"K1‧請問您最近一個月有使用下列哪些網路平台或APP,私下(一對一)與人通話、視訊、或傳訊息?(可多選)(卡7) □ (01) LINE □ (02) FB Messenger(臉書聊天室) □ (03) Instagram(IG) □ (04) 微信WeChat □ (05) WhatsApp □ (06) Google Chat □ (07) Microsoft Teams □ (08) FaceTime □ (09) Telegram □ (10) Discord □ (11) 抖音(TikTok) □ (12) Dcard □ (13) Threads □ (88)其他,請說明____"
36,vK1m08,K1,match,,"0,1",,,,"0,1",,,,multiple-response binary,"K1‧請問您最近一個月有使用下列哪些網路平台或APP,私下(一對一)與人通話、視訊、或傳訊息?(可多選)(卡7) □ (01) LINE □ (02) FB Messenger(臉書聊天室) □ (03) Instagram(IG) □ (04) 微信WeChat □ (05) WhatsApp □ (06) Google Chat □ (07) Microsoft Teams □ (08) FaceTime □ (09) Telegram □ (10) Discord □ (11) 抖音(TikTok) □ (12) Dcard □ (13) Threads □ (88)其他,請說明____"
37,vK1m09,K1,match,,"0,1",,,,"0,1",,,,multiple-response binary,"K1‧請問您最近一個月有使用下列哪些網路平台或APP,私下(一對一)與人通話、視訊、或傳訊息?(可多選)(卡7) □ (01) LINE □ (02) FB Messenger(臉書聊天室) □ (03) Instagram(IG) □ (04) 微信WeChat □ (05) WhatsApp □ (06) Google Chat □ (07) Microsoft Teams □ (08) FaceTime □ (09) Telegram □ (10) Discord □ (11) 抖音(TikTok) □ (12) Dcard □ (13) Threads □ (88)其他,請說明____"
38,vK1m10,K1,match,,"0,1",96,,,"0,1",96,,,multiple-response binary,"K1‧請問您最近一個月有使用下列哪些網路平台或APP,私下(一對一)與人通話、視訊、或傳訊息?(可多選)(卡7) □ (01) LINE □ (02) FB Messenger(臉書聊天室) □ (03) Instagram(IG) □ (04) 微信WeChat □ (05) WhatsApp □ (06) Google Chat □ (07) Microsoft Teams □ (08) FaceTime □ (09) Telegram □ (10) Discord □ (11) 抖音(TikTok) □ (12) Dcard □ (13) Threads □ (88)其他,請說明____"
39,vK1m11,K1,match,,"0,1",96,,,"0,1",96,,,multiple-response binary,"K1‧請問您最近一個月有使用下列哪些網路平台或APP,私下(一對一)與人通話、視訊、或傳訊息?(可多選)(卡7) □ (01) LINE □ (02) FB Messenger(臉書聊天室) □ (03) Instagram(IG) □ (04) 微信WeChat □ (05) WhatsApp □ (06) Google Chat □ (07) Microsoft Teams □ (08) FaceTime □ (09) Telegram □ (10) Discord □ (11) 抖音(TikTok) □ (12) Dcard □ (13) Threads □ (88)其他,請說明____"
40,vK1m12,K1,match,,"0,1",96,,,"0,1",96,,,multiple-response binary,"K1‧請問您最近一個月有使用下列哪些網路平台或APP,私下(一對一)與人通話、視訊、或傳訊息?(可多選)(卡7) □ (01) LINE □ (02) FB Messenger(臉書聊天室) □ (03) Instagram(IG) □ (04) 微信WeChat □ (05) WhatsApp □ (06) Google Chat □ (07) Microsoft Teams □ (08) FaceTime □ (09) Telegram □ (10) Discord □ (11) 抖音(TikTok) □ (12) Dcard □ (13) Threads □ (88)其他,請說明____"
41,vK1m13,K1,match,,"0,1",96,,,"0,1",96,,,multiple-response binary,"K1‧請問您最近一個月有使用下列哪些網路平台或APP,私下(一對一)與人通話、視訊、或傳訊息?(可多選)(卡7) □ (01) LINE □ (02) FB Messenger(臉書聊天室) □ (03) Instagram(IG) □ (04) 微信WeChat □ (05) WhatsApp □ (06) Google Chat □ (07) Microsoft Teams □ (08) FaceTime □ (09) Telegram □ (10) Discord □ (11) 抖音(TikTok) □ (12) Dcard □ (13) Threads □ (88)其他,請說明____"
42,vK1m88,K1,match,,"0,1",96,,,"0,1",96,,,multiple-response binary,"K1‧請問您最近一個月有使用下列哪些網路平台或APP,私下(一對一)與人通話、視訊、或傳訊息?(可多選)(卡7) □ (01) LINE □ (02) FB Messenger(臉書聊天室) □ (03) Instagram(IG) □ (04) 微信WeChat □ (05) WhatsApp □ (06) Google Chat □ (07) Microsoft Teams □ (08) FaceTime □ (09) Telegram □ (10) Discord □ (11) 抖音(TikTok) □ (12) Dcard □ (13) Threads □ (88)其他,請說明____"
43,vK1m90,K1,match,,"0,1",96,,,"0,1",96,,,multiple-response binary,"K1‧請問您最近一個月有使用下列哪些網路平台或APP,私下(一對一)與人通話、視訊、或傳訊息?(可多選)(卡7) □ (01) LINE □ (02) FB Messenger(臉書聊天室) □ (03) Instagram(IG) □ (04) 微信WeChat □ (05) WhatsApp □ (06) Google Chat □ (07) Microsoft Teams □ (08) FaceTime □ (09) Telegram □ (10) Discord □ (11) 抖音(TikTok) □ (12) Dcard □ (13) Threads □ (88)其他,請說明____"
44,vK2m01,K2,match,,"0,1",,,,"0,1",,,,multiple-response binary,"K2‧除了私下(一對一)聯絡,請問您最近一個月有使用下列哪些網路平台或APP,公開(一對多)和人互動,像是看朋友或其他人的動態、自己PO文、按讚、留言?(可多選)(卡8) 訪員注意: 1.若只是在LINE、FB、IG上看到標註抖音(TikTok)的影片,不算有使用,要有用抖音APP或在網頁版上觀看才算有使用。 2.不論是透過手機、平板或電腦使用社群媒體都算。 □ (01)臉書(Facebook) □ (02)Instagram(IG) □ (03) X (原Twitter,推特) □ (04)LinkedIn □ (05)微博 □ (06)噗浪(Plurk) □ (07)抖音(TikTok) "
45,vK2m02,K2,match,,"0,1",,,,"0,1",,,,multiple-response binary,"K2‧除了私下(一對一)聯絡,請問您最近一個月有使用下列哪些網路平台或APP,公開(一對多)和人互動,像是看朋友或其他人的動態、自己PO文、按讚、留言?(可多選)(卡8) 訪員注意: 1.若只是在LINE、FB、IG上看到標註抖音(TikTok)的影片,不算有使用,要有用抖音APP或在網頁版上觀看才算有使用。 2.不論是透過手機、平板或電腦使用社群媒體都算。 □ (01)臉書(Facebook) □ (02)Instagram(IG) □ (03) X (原Twitter,推特) □ (04)LinkedIn □ (05)微博 □ (06)噗浪(Plurk) □ (07)抖音(TikTok) "
46,vK2m03,K2,match,,"0,1",,,,"0,1",,,,multiple-response binary,"K2‧除了私下(一對一)聯絡,請問您最近一個月有使用下列哪些網路平台或APP,公開(一對多)和人互動,像是看朋友或其他人的動態、自己PO文、按讚、留言?(可多選)(卡8) 訪員注意: 1.若只是在LINE、FB、IG上看到標註抖音(TikTok)的影片,不算有使用,要有用抖音APP或在網頁版上觀看才算有使用。 2.不論是透過手機、平板或電腦使用社群媒體都算。 □ (01)臉書(Facebook) □ (02)Instagram(IG) □ (03) X (原Twitter,推特) □ (04)LinkedIn □ (05)微博 □ (06)噗浪(Plurk) □ (07)抖音(TikTok) "
